# Source: https://github.com/fvrmatteo/oracle-synthesis-meets-equality-saturation
# License: not specified
# expression	ground_truth
~(x+y+(~(x+y+x+y))+-z)	(x+y+z)
((((~((-((~x)|(~((~((~((~(-((~x)+1)))|0xffffffffffffffff))|(~((-((~x)+1))|x))))&((~((~((~(-((~x)+1)))|0xffffffffffffffff))|(((~(~((~(-((~x)+1)))|0xffffffffffffffff)))&0xffffffffffffffff)&(~((-((~x)+1))|x)))))|(~(((~(~((~(((-(~((~(-((~x)+1)))|0xffffffffffffffff)))+(~(((-((~x)+1))|x)&(~((((-((~x)+1))|x)+y)&(~(((-((~x)+1))|x)|y)))))))&(~(~(~((((((~x)+1)+((~(1|1))&1))*((y^1)|(~(y&2))))|x)|((x+(-(~((~(x&2))|2))))&(-x))))))))&(~(~((((-(~((~(-((~x)+1)))|0xffffffffffffffff)))+0xffffffffffffffff)^(~((-((~x)+1))|x)))&(~(~((-((~x)+1))|x)))))))))+0xffffffffffffffff)&1)))))))&1))&(x&z))+((y*z)+(-(~((z|(~(z&2)))|(-(~((z|(~(z&2)))|(-((z|(~(z&2)))|1))))))))))^(~((~((y+(~(((-x)+(-((-(x^(~x)))&((-(x^(~x)))|1))))|((~((~(x|1))&1))+1))))&((y+x)^(-((z-x)*((z-x)+(~((z-x)|((z-x)&(((-(z-x))+1)|2))))))))))&(~((y+x)|(z-x))))))	(((z-x)|(x+y))^((y*z)+(x&z)))
((-(((x&z)+(-((y*(y|(~y)))*z)))^(~((~((((y+x)|(z-x))*(-((((y+x)|(z-x))^(~((y+x)|(z-x))))|((((y+x)|(z-x))^((~(~(((y+x)|(z-x))|(~(((~y)+((-((~(y|(y&(~(y&(~(y&(y|(~(((-y)+1)&2))))))))))+(-y)))+x))|((-((-z)+(x+0xfffffffffffffffe)))+(0xfffffffffffffffe&(0xfffffffffffffffe^(~(~((~(0xfffffffffffffffe|2))&(~((-2)&1)))))))))))))&(~((y+x)|((-(((-z)+(-(~(z+(-(z+1))))))+(x+0xfffffffffffffffe)))+(0xfffffffffffffffe&(0xfffffffffffffffe^(~(0xfffffffffffffffe|2)))))))))&(((~((y+x)|((z+(-((-(~x))+2)))+0x3)))&(~(((y+x)|((z+(-((-(~x))+2)))+0x3))&(-(((y+x)|((z+(-((-(~x))+2)))+0x3))+y)))))+(~((((y+x)|((z+(-((((~x)*((~(((~x)|(~((~((~((~x)&1))&1))|2)))|(~((~x)&1))))+0xffffffffffffffff))+2)|(~((~((((~x)*((~(((((~x)^(~((~((((-((-((~x)&1))+1))+2)*0xffffffffffffffff)&1))|2)))+(-((~((~((~((((-((-((~x)&1))+1))+2)*0xffffffffffffffff)&1))|2))|1))&1)))|(~(-((~((~((((-((-((~x)&1))+1))+2)*0xffffffffffffffff)&1))|2))+1))))|(~((~x)&1))))+0xffffffffffffffff))+2)&y))|1)))))+0x3))|2)|0xffffffffffffffff)))))))|0xffffffffffffffff))|(~(((y+x)|(z-x))*w))))))+(-((~((((x&z)+(-((y*(y|(~y)))*z)))^(~((~((((y+x)|(z-x))*(-(((((y+x)|(z-x))^(~((y+x)|(z-x))))|((((y+x)|(z-x))^(~((y+x)|(z-x))))&(~((y+x)|(z-x)))))|((((y+x)|(z-x))^((~(~(((y+x)|(z-x))|(~(((~y)+((-((~(y|(y&(~(y&((~y)&(~((~y)&(~((~y)|1))))))))))+(-y)))+x))|((-((-z)+((~x)+(-(~((x*2)+0xfffffffffffffffe))))))+(0xfffffffffffffffe&(0xfffffffffffffffe^(~(~((~(0xfffffffffffffffe|2))&(~((-2)&1)))))))))))))&(~((y+x)|((-(((-z)+(-(~(z+(-(z+1))))))+((-(~(((-z)+(-(~(z+(-(z+1))))))&(~((-z)+(-(~(z+(-(z+1))))))))))*(x+0xfffffffffffffffe))))+(0xfffffffffffffffe&(0xfffffffffffffffe^(~(0xfffffffffffffffe|2)))))))))&(((~((y+x)|((z+(-((-(~x))+2)))+0x3)))&(~(((y+x)|((z+(-((-(~x))+2)))+0x3))&(-((((y&(~(x&(~(x|1)))))+x)|((z+(-((-(~x))+2)))+0x3))+y)))))+(~((((y+x)|((z+(-((((~x)*((~(((~x)|(~((~((~((~x)&1))&1))|2)))|(~((~x)&1))))+0xffffffffffffffff))+2)|(~((~((((~x)*((~(((((~x)^(~((~((((-((-((~x)&1))+1))+2)*0xffffffffffffffff)&1))|2)))+(-(~(~((((~((~((~((((-((-((~x)&1))+1))+2)*0xffffffffffffffff)&1))|2))|1))+1)+(-1))&1)))))|(~(-((~((~((((-((-((~x)&1))+1))+2)*0xffffffffffffffff)&1))|2))+1))))|(~((~x)&1))))+0xffffffffffffffff))+2)&y))|1)))))+0x3))|2)|0xffffffffffffffff)))))))|(~(~(((((y+x)|(z-x))*(-(((((y+x)|(z-x))^(~((y+x)|(z-x))))|((((y+x)|(z-x))^(~(((y+x)|(z-x))+(~((((y+x)|(z-x))*2)|0xffffffffffffffff)))))&(~((y+x)|(z-x)))))|((((y+x)|(z-x))^((~(~(((y+x)|(z-x))|(~(((~y)+((-((~(y|(y&(~(y&((~y)&(~((~y)&(~((~y)|1))))))))))+(-y)))+x))|((-((-z)+((~x)+(-(~((x*2)+0xfffffffffffffffe))))))+(0xfffffffffffffffe&(0xfffffffffffffffe^(~(~((~(0xfffffffffffffffe|2))&(~((-2)&1)))))))))))))&(~((y+x)|((-(((-z)+(-(~(z+(-(z+1))))))+((-(~(((-z)+(-(~(z+(-(z+1))))))&(~((-z)+(-(~(z+(-(z+1))))))))))*(x+0xfffffffffffffffe))))+(0xfffffffffffffffe&(0xfffffffffffffffe^(~(0xfffffffffffffffe|2)))))))))&(((~((y+x)|((z+(-((-(~x))+2)))+0x3)))&(~(((y+x)|((z+(-((-(~x))+2)))+0x3))&(-((((y&(~(x&(~(x|1)))))+x)|((z+(-((-(~x))+2)))+0x3))+y)))))+(~((((y+x)|((z+(-((((~x)*((~(((~x)|(~((~((~((~x)&1))&1))|2)))|(~((~x)&1))))+0xffffffffffffffff))+2)|(~((~((((~x)*((~(((((~x)^(~((~((((-((-((~x)&1))+1))+2)*0xffffffffffffffff)&1))|2)))+(-(~(~((((~((~((~((((-((-((~x)&1))+1))+2)*0xffffffffffffffff)&1))|2))|1))+1)+(-1))&1)))))|(~(-((~((~((((-((-((~x)&1))+1))+2)*0xffffffffffffffff)&1))|2))+1))))|(~((~x)&1))))+0xffffffffffffffff))+2)&y))|1)))))+0x3))|2)|0xffffffffffffffff)))))))&(~0xffffffffffffffff))|0xffffffffffffffff)))))|(~(((y+x)|(z-x))*w)))))|0xffffffffffffffff))&2)))	-((((y*z)+(x&z))^(w*((z-x)|(x+y)))))
((~(x&~x)+~(x&~x))&(-~(x|~y)-~(x|~y)-~(x|~y)))+((~(x&~x)+~(x&~x))&(-~(x|~y)-~(x|~y)-~(x|~y)))+((~(x&~x)+~(x&~x))&~(-~(x|~y)-~(x|~y)-~(x|~y)))+((~(x&~x)+~(x&~x))|(-~(x|~y)-~(x|~y)-~(x|~y)))+((~(x&~x)+~(x&~x))|(-~(x|~y)-~(x|~y)-~(x|~y)))+((~(x&~x)+~(x&~x))|(-~(x|~y)-~(x|~y)-~(x|~y)))-((~(x&~x)+~(x&~x))|~(-~(x|~y)-~(x|~y)-~(x|~y)))-((~(x&~x)+~(x&~x))|~(-~(x|~y)-~(x|~y)-~(x|~y)))-((~(x&~x)+~(x&~x))|~(-~(x|~y)-~(x|~y)-~(x|~y)))+~((~(x&~x)+~(x&~x))|(-~(x|~y)-~(x|~y)-~(x|~y)))+~((~(x&~x)+~(x&~x))|(-~(x|~y)-~(x|~y)-~(x|~y)))+~((~(x&~x)+~(x&~x))|(-~(x|~y)-~(x|~y)-~(x|~y)))-~((~(x&~x)+~(x&~x))|~(-~(x|~y)-~(x|~y)-~(x|~y)))-~((~(x&~x)+~(x&~x))|~(-~(x|~y)-~(x|~y)-~(x|~y)))-(x&y)-(x&y)-(x&y)	3*(~y+1)
4*(x|(-6*(x&y)-7*(x&~y)+2*x+5*~(x&~x)-5*~(x|y)-4*~(x|~y)))-6*(x^y)+3*(x&~y)-3*(x&(-6*(x&y)-7*(x&~y)+2*x+5*~(x&~x)-5*~(x|y)-4*~(x|~y)))	x+(x-y)-(y^x)
(((x|~y))&(~y+~y+~y+~y+~y))+(((x|~y))&(~y+~y+~y+~y+~y))+(((x|~y))&(~y+~y+~y+~y+~y))+(((x|~y))&(~y+~y+~y+~y+~y))+(((x|~y))&(~y+~y+~y+~y+~y))+(((x|~y))&(~y+~y+~y+~y+~y))+(((x|~y))&(~y+~y+~y+~y+~y))+(((x|~y))&(~y+~y+~y+~y+~y))+(((x|~y))&~(~y+~y+~y+~y+~y))+(((x|~y))&~(~y+~y+~y+~y+~y))+(((x|~y))&~(~y+~y+~y+~y+~y))+(((x|~y))&~(~y+~y+~y+~y+~y))+(((x|~y))&~(~y+~y+~y+~y+~y))+(((x|~y))&~(~y+~y+~y+~y+~y))+(((x|~y))&~(~y+~y+~y+~y+~y))+(((x|~y))&~(~y+~y+~y+~y+~y))+(((x|~y))&~(~y+~y+~y+~y+~y))-(((x|~y))|~(~y+~y+~y+~y+~y))-(((x|~y))|~(~y+~y+~y+~y+~y))-(((x|~y))|~(~y+~y+~y+~y+~y))-(((x|~y))|~(~y+~y+~y+~y+~y))-(((x|~y))|~(~y+~y+~y+~y+~y))-(((x|~y))|~(~y+~y+~y+~y+~y))-~(((x|~y))&(~y+~y+~y+~y+~y))-~(((x|~y))&(~y+~y+~y+~y+~y))+~(((x|~y))|(~y+~y+~y+~y+~y))+~(((x|~y))|(~y+~y+~y+~y+~y))+~(((x|~y))|(~y+~y+~y+~y+~y))+~(((x|~y))|(~y+~y+~y+~y+~y))+~(((x|~y))|(~y+~y+~y+~y+~y))+~(((x|~y))|(~y+~y+~y+~y+~y))+~(((x|~y))|(~y+~y+~y+~y+~y))+~(((x|~y))|(~y+~y+~y+~y+~y))+~(((x|~y))|~(~y+~y+~y+~y+~y))+~(((x|~y))|~(~y+~y+~y+~y+~y))+~(((x|~y))|~(~y+~y+~y+~y+~y))-~(x|~y)-(x&~y)-(x&~y)-(x&~y)-(x&~y)-(x&~y)-(x&~y)-(x&y)-(x&y)	-
-(-(x&y)+2*(x|~y)+~(x|~y)-2*~y)+~(x|y)+(x&(-(x&y)+2*(x|~y)+~(x|~y)-2*~y))	-
4*((3*x)&(~x))+5*((3*x)&~(~x))-2*~((3*x)&~(3*x))+4*~((3*x)|(~x))+3*~((3*x)|~(~x))-2*~(~x)-2*(x&~y)	-
2*((2*~(x&~x))&(-3*~(x|~y)))+((2*~(x&~x))&~(-3*~(x|~y)))+3*((2*~(x&~x))|(-3*~(x|~y)))-3*((2*~(x&~x))|~(-3*~(x|~y)))+3*~((2*~(x&~x))|(-3*~(x|~y)))-2*~((2*~(x&~x))|~(-3*~(x|~y)))-3*(x&y) (needs Z3)	-
4*(x|(-6*(x&y)-7*(x&~y)+2*x+5*~(x&~x)-5*~(x|y)-4*~(x|~y)))-6*(x^y)+3*(x&~y)-3*(x&(-6*(x&y)-7*(x&~y)+2*x+5*~(x&~x)-5*~(x|y)-4*~(x|~y)))	-
((~(x&~y))&(-(x|y)))+2*((~(x&~y))|(-(x|y)))-~((~(x&~y))&~(~(x&~y)))+~((~(x&~y))|(-(x|y)))-~(x|y)+~(x|~y)	-
~(x&~x)-y+~(x|y)+2*~(x|~(4*(x&y)-3*~(x^y)+6*~(x|y)+4*~(x|~y)-3*~x))	-
-~(x&~(4*(x&y)+2*(x&~y)+(x^y)-3*~(x&~x)+3*~(x|y)+3*~(x|~y)))+~(x|y)+(x&~y)+(x&(4*(x&y)+2*(x&~y)+(x^y)-3*~(x&~x)+3*~(x|y)+3*~(x|~y)))	-
-2*(((x|~y))&(+2*~x))+(((x|~y))&~(+2*~x))-3*~(((x|~y))&~(+2*~x))+7*~(((x|~y))^(+2*~x))-4*~(((x|~y))|(+2*~x))+4*~(((x|~y))|~(+2*~x))-3*~(x&~x)+3*(x&y)	-
-2*x-1*(x|~y)-2*~x+3*~(x|y)+3*(x&(12*(x&y)+1*(x&~y)-1*(x^y)-11*~(x^y)+11*~(x|y)+2*~(x|~y)))	(((x^y)*0xfffffffffffffffd)+((~x)&y))
7*(2*(x&y)-2*(x&~y)-1*y+2*~(x&y)-2*~(x|y))+1*x-8*~(x|~y)-2*(x&~y)-8*(x&(2*(x&y)-2*(x&~y)-1*y+2*~(x&y)-2*~(x|y)))	-
2*((-11*~(x&y))&(+1*~(x&~x)))+19*((-11*~(x&y))&~(+1*~(x&~x)))-11*((-11*~(x&y))^(+1*~(x&~x)))-7*~((-11*~(x&y))&(+1*~(x&~x)))+7*~((-11*~(x&y))|(+1*~(x&~x)))+19*~((-11*~(x&y))|~(+1*~(x&~x)))-5*x-1*~(x&~y)+5*~y+1*(x^y)-1*y+3*~x-3*(x|~y)+5*~(x|y)+8*~(x|~y)+12*(x&~y)+8*(x&y)	-
-2*((2*(y^(~x|(~y|z))))&~(+1*(~(x&y)&~(y^z))))+3*((2*(y^(~x|(~y|z))))^(+1*(~(x&y)&~(y^z))))+2*(+1*(~(x&y)&~(y^z)))-4*~((2*(y^(~x|(~y|z))))|~(+1*(~(x&y)&~(y^z))))-3*~(x|(y|z))-3*~(~x|(y|z))-2*~(~x|(~y|z))-1*(~x&(~y&z))	-
-7*((3*(y^(x|(y^z))))&(-11*(y^~(~x&(~y&z)))))-10*((3*(y^(x|(y^z))))&~(-11*(y^~(~x&(~y&z)))))+11*((3*(y^(x|(y^z))))|~(-11*(y^~(~x&(~y&z)))))-2*~((3*(y^(x|(y^z))))&~(-11*(y^~(~x&(~y&z)))))-9*~((3*(y^(x|(y^z))))|(-11*(y^~(~x&(~y&z)))))+3*~((3*(y^(x|(y^z))))|~(-11*(y^~(~x&(~y&z)))))-1*~(x^(y^z))+12*~(x|(y|z))+8*~(~x|(y|z))-3*(~x&(~y&z))-2*(~x&(y&z))+9*(x&(~y&z))	-
9*((-(x^y))&(-(x|y)))+19*((-(x^y))&~(-(x|y)))-11*((-(x^y))^(-(x|y)))-7*((-(x^y))|~(-(x|y)))+7*~((-(x^y))|(-(x|y)))+12*~((-(x^y))|~(-(x|y)))-3*(x&~y)-4*(x&y)	-
5*~(x^(7*(x&y)+7*(x&~y)-1*(x^y)-6*~(x&~x)+6*~(x|y)+8*~(x|~y)))-11*x-6*~(x&y)+1*~x+6*(x&(7*(x&y)+7*(x&~y)-1*(x^y)-6*~(x&~x)+6*~(x|y)+8*~(x|~y)))	-
-5*((-~(x&~y))&(+5*~(x^y)))-2*((-~(x&~y))&~(+5*~(x^y)))+3*~((-~(x&~y))&~(-~(x&~y)))+4*~((-~(x&~y))&~(+5*~(x^y)))-7*~((-~(x&~y))|(+5*~(x^y)))-6*~((-~(x&~y))|~(+5*~(x^y)))+(x|y)-(x&~y) (with resets = 10)	-
-11*~x-2*(x|~y)+13*~(x|y)+2*(x&~(4*(x&y)-3*(x&~y)+3*(x|~y)-6*~(x^y)+3*~(x|y)+1*~(x|~y)))	-
-9*((5*y)&(+1*~(x&~y)))-10*((5*y)&~(+1*~(x&~y)))+11*~((5*y)&(+1*~(x&~y)))+11*~((5*y)^(+1*~(x&~y)))-22*~((5*y)|(+1*~(x&~y)))-10*~((5*y)|~(+1*~(x&~y)))-1*~(x|y)-17*~(x|~y)-17*(x&y)	-
-1*~(x&~(8*(x&y)+7*(x&~y)-7*~(x&~x)+14*~(x|y)+15*~(x|~y)-7*~x))+7*~x-7*~(x&y)+1*~y+6*(x&~(8*(x&y)+7*(x&~y)-7*~(x&~x)+14*~(x|y)+15*~(x|~y)-7*~x))	-
2*((7*~y)&(-1*x))-12*((7*~y)&~(-1*x))+2*((7*~y)^(-1*x))+11*~((7*~y)&(-1*x))-11*~((7*~y)|(-1*x))-12*~((7*~y)|~(-1*x))+3*~(x|~y)+1*(x&~y)+11*(x&y)	7*(~y)+10*(x&y)+3*((~x)&y)
-3*((-15*(x&(y&z))-4*(x&(~y&z))+5*(z^~(x&(y&z)))+4*(~(x|y)|(y^z))+1*(~x&(y&z))-15*(~x&(~y&z))+11*~(x^(y&z))-20*~(x|(y|z))-19*~(x|(~y|z))-5*~(~x|(y|z))-8*~(~x|(~y|z)))^(~x&((-15*(x&(y&z))-4*(x&(~y&z))+5*(z^~(x&(y&z)))+4*(~(x|y)|(y^z))+1*(~x&(y&z))-15*(~x&(~y&z))+11*~(x^(y&z))-20*~(x|(y|z))-19*~(x|(~y|z))-5*~(~x|(y|z))-8*~(~x|(~y|z)))^z)))+5*(y^~(x&~z))+1*((x|~y)&~(y^z))-1*(y^(~x&(~y|z)))+1*(~y|~(x^z))-7*(y^(~x|(y^z)))+3*(y^~(x&(~y&z)))-10*~(~x|(y|z))-6*~(~x|(~y|z))-3*(~x&(~y&z))+3*(~x&(y&z))-4*(x&(~y&z))+4*(x&((-15*(x&(y&z))-4*(x&(~y&z))+5*(z^~(x&(y&z)))+4*(~(x|y)|(y^z))+1*(~x&(y&z))-15*(~x&(~y&z))+11*~(x^(y&z))-20*~(x|(y|z))-19*~(x|(~y|z))-5*~(~x|(y|z))-8*~(~x|(~y|z)))&z))	(((0x3*(z|(x|y)))+0xfe)-(((x|(y^z))+(x|z))*0x5))
-(3*((-(15*(x&(y&z)))-(4*(x&(~y&z)))+5*(z^~(x&(y&z)))+4*(~(x|y)|(y^z))+1*(~x&(y&z))-(15*(~x&(~y&z)))+11*~(x^(y&z))-(20*~(x|(y|z)))-(19*~(x|(~y|z)))-(5*~(~x|(y|z)))-(8*~(~x|(~y|z))))^(~x&((-(15*(x&(y&z)))-(4*(x&(~y&z)))+5*(z^~(x&(y&z)))+4*(~(x|y)|(y^z))+1*(~x&(y&z))-(15*(~x&(~y&z)))+11*~(x^(y&z))-(20*~(x|(y|z)))-(19*~(x|(~y|z)))-(5*~(~x|(y|z)))-(8*~(~x|(~y|z))))^z))))+5*(y^~(x&~z))+1*((x|~y)&~(y^z))-1*(y^(~x&(~y|z)))+1*(~y|~(x^z))-(7*(y^(~x|(y^z))))+3*(y^~(x&(~y&z)))-(10*~(~x|(y|z)))-(6*~(~x|(~y|z)))-(3*(~x&(~y&z)))+3*(~x&(y&z))-(4*(x&(~y&z)))+4*(x&((-(15*(x&(y&z)))-(4*(x&(~y&z)))+5*(z^~(x&(y&z)))+4*(~(x|y)|(y^z))+1*(~x&(y&z))-(15*(~x&(~y&z)))+11*~(x^(y&z))-(20*~(x|(y|z)))-(19*~(x|(~y|z)))-(5*~(~x|(y|z)))-(8*~(~x|(~y|z))))&z))	(((((~z)-((y^z)+(x|z)))-(x|(y^z)))-(x|(y|z)))+((y-((x+x)^((y^z)-(y-z))))+(~(x+x))))
