4554857727453019050*~(x|5148131303079159687) + 4554857727453019050*~(x|~5148131303079159687) + 13891886349992469251*~x,  3735936685*~x
13024114052833170668*~(x|~6258111443353346289) + 2711315014174127159*~x + 15735429063271361142*~(x^6258111443353346289) + 2711315010438190474*6258111443353346289,  3735936685*~x
18446744066237678246*x + 3735936685*(x|~1365580165098143571) + 3735936685*(x|1365580165098143571),  3735936685*~x
3735936685*~5701717440593017934 + 7471873370*~(x|~5701717440593017934) + 18446744069973614931*(x^5701717440593017934),  3735936685*~x
11789139217198592832*~(x|6502250361271746158) + 12552174468846191885*~x + 12552174465110255200*~(x^6502250361271746158) + 5894569608599296416*6502250361271746158,  3735936685*~x
3735936685*~(x&4821423465743492185) + 3735936685*~(x^4821423465743492185) + 18446744069973614931*(x|~4821423465743492185),  3735936685*~x
14165817873840053677*~(x|2587643942817301170) + 14165817873840053677*~(x|~2587643942817301170) + 4280926203605434624*~x,  3735936685*~x
900187602786405385*(x&~6846774171560812285) + 900187606522342070*~x + 17546556470923146231*~(x&6846774171560812285),  3735936685*~x
3735936685*~(x|5676142573622931118) + 18446744069973614931*(x&~5676142573622931118) + 3735936685*(x^5676142573622931118),  3735936685*~x
18446744066237678246*~1593496427319127182 + 7471873370*~(x&1593496427319127182) + 3735936685*(x|~1593496427319127182) + 18446744069973614931*(x|1593496427319127182),  3735936685*~x
7471873370*~(x&5245242185158755873) + 7471873370*(x&5245242185158755873) + 18446744069973614931*(x|~5245242185158755873) + 18446744069973614931*(x|5245242185158755873),  3735936685*~x
7471873370*~(x|~4762641452969897410) + 3735936685*(x|~4762641452969897410) + 18446744069973614931*(x|4762641452969897410),  3735936685*~x
8298135988806193495*~(x|~1436679181516831895) + 10148608088639294806*~x + 10148608084903358121*(x|1436679181516831895) + 10148608084903358121,  3735936685*~x
3735936685*~(x|5099249719768813448) + 14186050121508585886*~5099249719768813448 + 14186050125244522571*~(x|~5099249719768813448) + 4260693952200965730*~(x&5099249719768813448),  3735936685*~x
3735936685*(x&~594477804075078483) + 18446744069973614931*x + 3735936685*~(x&~594477804075078483),  3735936685*~x
3735936685*~(x|272801269264317371) + 4584898839276254409*~272801269264317371 + 4584898843012191094*~(x|~272801269264317371) + 13861845234433297207*~(x&272801269264317371),  3735936685*~x
3735936685*~(x&155602829019369469) + 3735936685*(x&155602829019369469) + 18446744069973614931*x,  3735936685*~x
3735936685*~(x|5421436461069690899) + 14912727077388278548*~5421436461069690899 + 14912727081124215233*~(x|~5421436461069690899) + 3534016996321273068*~(x&5421436461069690899),  3735936685*~x
7471873370*~(x|8992170429865680787) + 18446744069973614931*(x|~8992170429865680787) + 3735936685*(x|8992170429865680787),  3735936685*~x
3735936685*~1219923589696791012 + 18446744069973614931*x + 3735936685*1219923589696791012,  3735936685*~x
1481043158682013350*(x&~5023579636284896252) + 3735936685*~x + 1481043158682013350*(x&5023579636284896252) + 16965700915027538266*x,  3735936685*~x
12954069481390453171*~(x|9147253747438613253) + 12954069481390453171*~(x|~9147253747438613253) + 5492674596055035130*~x,  3735936685*~x
631313267374558425*~(x|4579555605070733505) + 631313267374558425*~(x|~4579555605070733505) + 17815430810070929876*~x,  3735936685*~x
3735936685*~(x|2233313156135411598) + 6933060389945278131*~2233313156135411598 + 6933060393681214816*~(x|~2233313156135411598) + 11513683683764273485*~(x&2233313156135411598),  3735936685*~x
17374964874583024591*~x + 17374964870847087906*x + 17374964870847087906,  3735936685*~x
5671583173340060691*~x + 5671583169604124006*~(x^5158544509256352262) + 5671583169604124006*5158544509256352262 + 7103577734501303604*~(x&~5158544509256352262),  3735936685*~x
3735936685*~(x|897298450336115123) + 3735936685*~(x&897298450336115123) + 3735936685*(x&897298450336115123) + 18446744069973614931*(x|~897298450336115123),  3735936685*~x
13197537667719194751*~x + 13197537663983258066*(x&6006859772204597111) + 5249206409726293550*~(x&~6006859772204597111),  3735936685*~x
14275205820990599888*~(x|2948825427307641615) + 14275205820990599888*~(x|~2948825427307641615) + 4171538256454888413*~x,  3735936685*~x
6838197674946595811*~x + 6838197671210659126*x + 6838197671210659126,  3735936685*~x
3735936685*(x&~9070504752272607556) + 3735936685*~(x|~9070504752272607556) + 3735936685*~(x^9070504752272607556) + 18446744069973614931*x,  3735936685*~x
4321792419984288826*(x&~841872059905935185) + 14124951653725262790*~841872059905935185 + 14124951653725262790*~(x|~841872059905935185) + 4321792423720225511*~x,  3735936685*~x
3735936685*~(x|5927597717839889141) + 18446744069973614931*~(x^5927597717839889141) + 3735936685*~(x&~5927597717839889141),  3735936685*~x
3735936685*~7928233868202064759 + 18446744069973614931*(x|~7928233868202064759) + 3735936685*~(x&~7928233868202064759),  3735936685*~x
3875796211083687609*~(x|~3140402771327038350) + 14570947866361800692*~x + 14570947862625864007*(x^3140402771327038350) + 3875796211083687609*~(x&3140402771327038350),  3735936685*~x
14335014868541284189*(x&~9214203404430977310) + 14335014872277220874*~x + 4111729205168267427*~(x&9214203404430977310),  3735936685*~x
18446744069973614931*~9137140628227022556 + 18446744069973614931*~(x^9137140628227022556) + 18446744066237678246*(x|9137140628227022556) + 18446744062501741561,  3735936685*~x
13854748041096494874*(x&~18420229477581809) + 13854748044832431559*~x + 4591996032613056742*~(x&18420229477581809),  3735936685*~x
18446744066237678246*(x&7988984454476825241) + 3735936685*~(x^7988984454476825241) + 3735936685*7988984454476825241,  3735936685*~x
18446744069973614931*~4991710922825311107 + 18446744069973614931*(x&4991710922825311107) + 18446744069973614931*(x|4991710922825311107) + 18446744066237678246,  3735936685*~x
3735936685*~x + 5263469057558150501*~(x&5102680713187374733) + 5263469057558150501*(x&5102680713187374733) + 5263469057558150501,  3735936685*~x
1432527385285674966*(x&~3111942672440277349) + 1432527389021611651*~x + 17014216688423876650*~(x&3111942672440277349),  3735936685*~x
3735936685*~(x|~4703645079882338751) + 18446744069973614931*(x^4703645079882338751) + 3735936685*~(x&4703645079882338751),  3735936685*~x
3735936685*~(x|4045939797654466395) + 18446744069973614931*x + 3735936685*(x|4045939797654466395),  3735936685*~x
5428224625537328879*~(x|~5909168692271382276) + 13018519451908159422*~x + 13018519448172222737*(x|5909168692271382276) + 13018519448172222737,  3735936685*~x
8363750875889749327*~(x|1128415531505723285) + 10082993197819802289*(x&~1128415531505723285) + 10082993201555738974*~x + 8363750875889749327*(x^1128415531505723285),  3735936685*~x
13016076326972465480*~(x|2434831165790196660) + 18446744069973614931*(x|~2434831165790196660) + 13016076323236528795*(x|2434831165790196660) + 13016076319500592110,  3735936685*~x
3735936685*~(x|8776623138757302205) + 18446744069973614931*(x&8776623138757302205) + 3735936685*8776623138757302205,  3735936685*~x
6082247232178719819*(x&~4306407900292268395) + 18446744069973614931*(x&4306407900292268395) + 6082247235914656504*~(x&~4306407900292268395) + 6082247232178719819,  3735936685*~x
18446744069973614931*~2806591846271903225 + 18446744062501741561*(x&2806591846271903225) + 7471873370*~(x^2806591846271903225) + 3735936685*(x|2806591846271903225),  3735936685*~x
3735936685*(x^8416892853863790473) + 3735936685*(x&8416892853863790473) + 18446744066237678246*x + 3735936685*(x|~8416892853863790473),  3735936685*~x
18446744069973614931*(x|~7371860133630637870) + 18446744069973614931*(x|7371860133630637870) + 18446744066237678246,  3735936685*~x
3735936685*~(x|8759130626009899265) + 18446744069973614931*(x|~8759130626009899265) + 18446744069973614931,  3735936685*~x
3735936685*~(x|~3322565000837650483) + 18446744069973614931*(x&3322565000837650483) + 3735936685*~(x^3322565000837650483),  3735936685*~x
3735936685*~(x|945765767970373369) + 3735936685*(x^945765767970373369) + 3735936685*(x&945765767970373369) + 18446744069973614931*x,  3735936685*~x
3735936685*~(x&7528194008352580624) + 3735936685*7528194008352580624 + 18446744069973614931*(x|7528194008352580624),  3735936685*~x
3735936685*~(x|~5467126977454910227) + 18446744069973614931*(x^5467126977454910227) + 18446744069973614931*(x&5467126977454910227) + 18446744069973614931,  3735936685*~x
7471873370*(x^9179299504892057465) + 7471873370*~(x^9179299504892057465) + 18446744069973614931*(x|~9179299504892057465) + 18446744069973614931*(x|9179299504892057465),  3735936685*~x
17940838537772127676*(x^314164179403614649) + 17940838534036190991*(x&314164179403614649) + 3735936685*~(x&~314164179403614649) + 505905535937423940*(x|314164179403614649),  3735936685*~x
8378961845640872682*~x + 8378961841904935997*(x&2068795860010031493) + 10067782231804615619*~(x&~2068795860010031493),  3735936685*~x
17064306574974826709*~x + 1382437502470661592*(x^2216340605982385948) + 1382437502470661592*~(x&~2216340605982385948) + 17064306571238890024*(x|2216340605982385948),  3735936685*~x
3735936685*~(x|~2109327995301221485) + 18446744069973614931*x + 3735936685*(x|~2109327995301221485),  3735936685*~x
5197415669718632029*~(x|1778269132291919820) + 5197415669718632029*~(x|~1778269132291919820) + 13249328407726856272*~x,  3735936685*~x
16580650484776688797*~(x|~6645046956388790073) + 16580650481040752112*~(x^6645046956388790073) + 18446744069973614931*6645046956388790073 + 1866093596404736189*~(x&~6645046956388790073),  3735936685*~x
18446744069973614931*(x&~3193745074412407098) + 3735936685*(x^3193745074412407098) + 18446744069973614931*(x|3193745074412407098) + 18446744069973614931,  3735936685*~x
18446744069973614931*(x&~5022951430031843590) + 18446744069973614931*(x&5022951430031843590) + 18446744069973614931,  3735936685*~x
18446744066237678246*~(x^3777780386907392645) + 3735936685*(x|~3777780386907392645) + 7471873370*~(x&~3777780386907392645) + 18446744069973614931*(x|3777780386907392645),  3735936685*~x
18446744066237678246*(x&~2161013151606413777) + 18446744066237678246*(x&2161013151606413777) + 3735936685*(x|~2161013151606413777) + 3735936685*(x|2161013151606413777),  3735936685*~x
3735936685*~(x&480187441650775224) + 3735936685*~(x&~480187441650775224) + 3735936685,  3735936685*~x
3735936685*(x&~4088036709317812555) + 18446744069973614931*~(x^4088036709317812555) + 7471873370*~(x&~4088036709317812555) + 18446744069973614931*(x|4088036709317812555),  3735936685*~x
18350400899056237242*~(x|2839032618708747086) + 96343182125187744*~(x|~2839032618708747086) + 96343178389251059*~(x^2839032618708747086) + 18350400895320300557*2839032618708747086,  3735936685*~x
608603340383780578*(x&~6149854009052868772) + 608603344119717263*~x + 17838140733325771038*~(x&6149854009052868772),  3735936685*~x
3578521190011027132*~(x|8138954957743590195) + 3578521190011027132*~(x|~8138954957743590195) + 14868222887434461169*~x,  3735936685*~x
3735936685*~(x|8669805895425379389) + 3735936685*(x&~8669805895425379389) + 18446744069973614931*x + 3735936685*8669805895425379389,  3735936685*~x
3735936685*~3548058141826868673 + 18446744069973614931*(x^3548058141826868673) + 18446744066237678246*(x|~3548058141826868673) + 18446744066237678246,  3735936685*~x
3735936685*(x^7675262222790837525) + 18446744069973614931*7675262222790837525 + 7471873370*~(x&~7675262222790837525) + 3735936685,  3735936685*~x
16399294755193519517*~x + 2047449322251968784*(x^4942193978250842504) + 2047449322251968784*~(x^4942193978250842504) + 16399294751457582832*x,  3735936685*~x
3735936685*~x + 12699622396618018495*(x^7595449652489017555) + 12699622396618018495*~(x^7595449652489017555) + 12699622396618018495,  3735936685*~x
3735936685*(x&~6851298414711396833) + 3735936685*~(x^6851298414711396833) + 18446744066237678246*x + 3735936685*(x|6851298414711396833),  3735936685*~x
18446744069973614931*(x&~1685965292507944430) + 3735936685*(x^1685965292507944430) + 18446744069973614931*1685965292507944430 + 3735936685*~(x&~1685965292507944430),  3735936685*~x
3735936685*~5621708272992317495 + 3735936685*~(x^5621708272992317495) + 18446744066237678246*(x|~5621708272992317495) + 18446744069973614931,  3735936685*~x
7471873370*~(x|418280022394602365) + 3735936685*(x&~418280022394602365) + 18446744069973614931*(x|~418280022394602365) + 3735936685*418280022394602365,  3735936685*~x
18446744069973614931*~(x|~156942153852983254) + 3735936685*(x^156942153852983254) + 18446744069973614931*x + 3735936685*~(x&~156942153852983254),  3735936685*~x
14302355236445412314*~x + 4144388841000075987*~(x&5235835304124375575) + 4144388841000075987*5235835304124375575 + 14302355232709475629*(x|5235835304124375575),  3735936685*~x
3735936685*~(x|~8525005933984018292) + 3735936685*~(x&8525005933984018292) + 3735936685*(x&8525005933984018292) + 18446744069973614931*(x|8525005933984018292),  3735936685*~x
3735936685*~(x|6272676041420947925) + 3735936685*(x^6272676041420947925) + 3735936685*~(x^6272676041420947925) + 18446744069973614931*(x|~6272676041420947925),  3735936685*~x
8585612801841815575*~6052183838086521980 + 18446744069973614931*x + 8585612801841815575*6052183838086521980 + 8585612798105878890,  3735936685*~x
7471873370*~(x|7295418929947231271) + 18446744069973614931*~(x^7295418929947231271) + 3735936685*7295418929947231271,  3735936685*~x
3637237422393644561*~(x|8543848946018181456) + 14809506655051843740*~x + 14809506651315907055*(x&8543848946018181456) + 3637237422393644561*8543848946018181456,  3735936685*~x
9528857374502158749*~(x|8032507720744131710) + 9528857374502158749*~(x|~8032507720744131710) + 8917886702943329552*~x,  3735936685*~x
3735936685*~x + 12621236637557624510*(x^4454496951058499665) + 12621236637557624510*~(x^4454496951058499665) + 12621236637557624510,  3735936685*~x
6148914693727141662*~(x&193172428735603476) + 6148914689991204977*(x|~193172428735603476) + 6148914693727141662*~(x&~193172428735603476) + 6148914689991204977*(x|193172428735603476),  3735936685*~x
10493876678854537068*(x&~8359202021835735474) + 7952867394855014548*~(x&8359202021835735474) + 7952867391119077863*x + 7952867391119077863,  3735936685*~x
18446744069973614931*(x&3721511499184011165) + 18446744069973614931*x + 3735936685*(x|~3721511499184011165) + 3735936685*3721511499184011165,  3735936685*~x
8320611200056642980*~x + 10126132877388845321*~(x&8384189018357842508) + 10126132877388845321*(x&8384189018357842508) + 8320611196320706295*x,  3735936685*~x
18446744069973614931*~7231238450343771279 + 3735936685*~(x&7231238450343771279) + 18446744069973614931*x + 3735936685*(x|~7231238450343771279),  3735936685*~x
3712655410391925448*(x&~4458910426638461092) + 3712655414127862133*~x + 14734088663317626168*~(x&4458910426638461092),  3735936685*~x
3915174066386918799*~x + 3915174062650982114*x + 3915174062650982114,  3735936685*~x
18446744069973614931*~6603760443896622704 + 18446744069973614931*(x^6603760443896622704) + 7471873370*~(x&6603760443896622704),  3735936685*~x
10374402168473199882*~(x|184655720275468190) + 10374402164737263197*(x&~184655720275468190) + 8072341905236351734*~184655720275468190 + 3735936685*~(x&184655720275468190),  3735936685*~x
3461822996717286499*~(x|4310996221558023392) + 14984921080728201802*~4310996221558023392 + 14984921084464138487*~(x|~4310996221558023392) + 3461822992981349814*(x^4310996221558023392),  3735936685*~x
4018857310781235985*~x + 4018857307045299300*x + 4018857307045299300,  3735936685*~x
756921636033509011*(x&~2730934530085234861) + 3735936685*~x + 756921636033509011*~(x&~2730934530085234861) + 756921636033509011,  3735936685*~x
6646023728749605829*~(x|~1393442979221837041) + 18446744069973614931*(x&1393442979221837041) + 6646023728749605829*~(x^1393442979221837041) + 11800720348695882472*~(x&~1393442979221837041),  3735936685*~x
17732580824529946907*(x&7541492213856370503) + 714163245443668024*x + 714163249179604709*~(x&~7541492213856370503) + 714163245443668024,  3735936685*~x
3735936685*~2236385010441543712 + 3735936685*~(x|~2236385010441543712) + 3735936685*~(x^2236385010441543712) + 18446744069973614931*(x|~2236385010441543712),  3735936685*~x
18446744069973614931*(x&6086845944050092083) + 3735936685*~(x^6086845944050092083) + 18446744069973614931*x + 3735936685*(x|6086845944050092083),  3735936685*~x
15988987167352014914*~x + 2457756910093473387*~(x&8869220328562582460) + 2457756910093473387*(x&8869220328562582460) + 15988987163616078229*x,  3735936685*~x
18446744069973614931*(x^474077340674299856) + 7471873370*~(x&474077340674299856) + 3735936685*(x&474077340674299856) + 18446744069973614931*(x|~474077340674299856),  3735936685*~x
447978498792115397*~7644444417730119331 + 447978498792115397*~(x|~7644444417730119331) + 3735936685*~x + 17998765574917436219*~(x&7644444417730119331),  3735936685*~x
18446744069973614931*(x&~6889888839720948556) + 3735936685*~6889888839720948556 + 18446744069973614931*(x|~6889888839720948556) + 18446744069973614931,  3735936685*~x
3735936685*~(x|989258793549680445) + 3735936685*(x&~989258793549680445) + 18446744069973614931*(x|~989258793549680445) + 3735936685*~(x&~989258793549680445),  3735936685*~x
18446744069973614931*~(x|~9113553920084136144) + 3735936685*~(x&9113553920084136144) + 18446744069973614931*x + 3735936685*9113553920084136144,  3735936685*~x
15666100012636782534*~(x|402804470443567934) + 2780644068544642452*~(x|~402804470443567934) + 2780644064808705767*~(x^402804470443567934) + 15666100008900845849*402804470443567934,  3735936685*~x
7471873370*~(x|~2020748678851132891) + 3735936685*~(x^2020748678851132891) + 18446744069973614931*2020748678851132891,  3735936685*~x
6586587238028744067*~3356870053787651966 + 3735936685*~x + 6586587238028744067*(x&3356870053787651966) + 11860156835680807549*(x|~3356870053787651966),  3735936685*~x
4538357867469166986*~(x|~2307549640616784892) + 6954193106856129000*~x + 11492550970589359301*(x|~2307549640616784892) + 6954193103120192315*(x|2307549640616784892),  3735936685*~x
12690144436758407653*~(x|~7768916414110207606) + 5756599640687080648*~x + 5756599636951143963*x + 12690144436758407653*(x|~7768916414110207606),  3735936685*~x
18446744069973614931*(x&2082716121985508657) + 3735936685*2082716121985508657 + 18446744069973614931*(x|2082716121985508657) + 18446744069973614931,  3735936685*~x
3735936685*~(x|416675803132557796) + 1790466949227749345*~(x|~416675803132557796) + 1790466945491812660*(x&416675803132557796) + 16656277128217738956*416675803132557796,  3735936685*~x
528714731294755144*(x&~7099303672219439008) + 528714735030691829*~x + 17918029342414796472*~(x&7099303672219439008),  3735936685*~x
187130537078350366*~(x|6972528438414289473) + 187130537078350366*~(x|~6972528438414289473) + 18259613540367137935*~x,  3735936685*~x
16597035438155844902*~(x|2466831302437496814) + 16597035434419908217*(x&~2466831302437496814) + 1849708635553706714*~2466831302437496814 + 3735936685*~(x&2466831302437496814),  3735936685*~x
9512262477350064358*(x^1456559863394056472) + 9512262477350064358*~(x^1456559863394056472) + 18446744069973614931*x + 9512262473614127673,  3735936685*~x
17683879661591804672*(x&5210470215487707867) + 762864408381810259*x + 762864412117746944*~(x&~5210470215487707867) + 762864408381810259,  3735936685*~x
18446744066237678246*(x&~7303704992839373024) + 7471873370*~7303704992839373024 + 18446744069973614931*~(x^7303704992839373024) + 3735936685*7303704992839373024,  3735936685*~x
15457137282152462604*~(x|5690055250654610438) + 3735936685*~x + 15457137282152462604*(x|5690055250654610438) + 15457137282152462604,  3735936685*~x
11207810055*~(x|~7101407298330085158) + 18446744069973614931*(x^7101407298330085158) + 3735936685*(x|~7101407298330085158) + 18446744069973614931*7101407298330085158,  3735936685*~x
10265725145955015945*~x + 8181018931490472356*~(x&1075053777128874252) + 8181018931490472356*~(x&~1075053777128874252) + 8181018931490472356,  3735936685*~x
18446744069973614931*(x|~9036054101197898799) + 18446744069973614931*9036054101197898799 + 3735936685*~(x&~9036054101197898799) + 18446744069973614931,  3735936685*~x
3735936685*~(x|450176841092407395) + 6511170898809000821*~(x|~450176841092407395) + 6511170895073064136*~(x^450176841092407395) + 11935573178636487480*~(x&~450176841092407395),  3735936685*~x
7471873370*~(x|2468609747141655500) + 3735936685*(x^2468609747141655500) + 3735936685*2468609747141655500 + 3735936685,  3735936685*~x
8731855899465759473*~(x|6819894089616715518) + 3735936685*~x + 8731855899465759473*(x&6819894089616715518) + 9714888174243792143*~(x^6819894089616715518),  3735936685*~x
1010588450978415514*~(x|~1810964118931606633) + 17436155626467072787*~x + 17436155622731136102*(x&1810964118931606633) + 1010588450978415514*~(x^1810964118931606633),  3735936685*~x
8846270991643550045*~2783466242155511091 + 3735936685*~x + 8846270991643550045*(x&2783466242155511091) + 9600473082066001571*(x|~2783466242155511091),  3735936685*~x
15864195270277942864*(x&~2394505974780438597) + 15864195274013879549*~x + 15864195270277942864*(x&2394505974780438597) + 15864195270277942864,  3735936685*~x
18446744066237678246*(x&~4778270795946820618) + 7471873370*(x^4778270795946820618) + 3735936685*~(x^4778270795946820618) + 18446744069973614931*4778270795946820618,  3735936685*~x
3735936685*~4632788755095407449 + 3735936685*(x&4632788755095407449) + 18446744066237678246*x + 3735936685*(x|4632788755095407449),  3735936685*~x
5963798902141981535*~(x|5732299487279195995) + 5963798902141981535*~(x|~5732299487279195995) + 12482945175303506766*~x,  3735936685*~x
15895497856788760677*~(x|~2062365184249939847) + 2551246220656727624*~x + 2551246216920790939*2062365184249939847 + 15895497856788760677*~(x&~2062365184249939847),  3735936685*~x
17698174309758778728*~x + 17698174306022842043*(x&4588472312325921074) + 748569767686709573*~(x&~4588472312325921074),  3735936685*~x
3735936685*~8911431630821830694 + 18446744069973614931*(x^8911431630821830694) + 18446744066237678246*~(x^8911431630821830694) + 7471873370*~(x&~8911431630821830694),  3735936685*~x
18446744066237678246*(x&~2982356391790334846) + 7471873370*~2982356391790334846 + 18446744069973614931*(x|~2982356391790334846) + 3735936685*(x|2982356391790334846),  3735936685*~x
9300082494339507435*(x&~4895959498224129801) + 9300082490603570750*(x&4895959498224129801) + 9146661579370044181*x + 3735936685*~(x&~4895959498224129801),  3735936685*~x
18446744066237678246*(x&~6613912460966496089) + 3735936685*(x^6613912460966496089) + 18446744069973614931*(x&6613912460966496089) + 3735936685*(x|~6613912460966496089),  3735936685*~x
18446744069973614931*(x^4468167443720691886) + 3735936685*~(x&4468167443720691886) + 18446744069973614931*(x|~4468167443720691886) + 18446744069973614931,  3735936685*~x
11207810055*~8010941550706066609 + 18446744069973614931*(x^8010941550706066609) + 18446744066237678246*(x|~8010941550706066609) + 7471873370*8010941550706066609,  3735936685*~x
8938600158396629393*~(x|8331354425963166402) + 8938600158396629393*~(x|~8331354425963166402) + 9508143919048858908*~x,  3735936685*~x
14814010992156877758*~1843773137078636253 + 14814010995892814443*~x + 14814010992156877758*(x^1843773137078636253) + 7265466163105347716*~(x&1843773137078636253),  3735936685*~x
14788001466881647742*~6572511842930643125 + 11129258860053743868*~(x|~6572511842930643125) + 3658742610563840559*~x + 3658742606827903874*(x^6572511842930643125),  3735936685*~x
6728940047689909327*~x + 6728940043953972642*(x&7197923092123275737) + 11717804029755578974*~(x&~7197923092123275737),  3735936685*~x
3735936685*~(x|~341849929399167112) + 3735936685*(x^341849929399167112) + 3735936685*~(x^341849929399167112) + 18446744069973614931*(x|341849929399167112),  3735936685*~x
18446744066237678246*(x&3324052776998037055) + 3735936685*(x|~3324052776998037055) + 7471873370*3324052776998037055 + 18446744069973614931*(x|3324052776998037055),  3735936685*~x
3735936685*~(x|4893088210445168461) + 3735936685*~(x&4893088210445168461) + 3735936685*4893088210445168461 + 3735936685,  3735936685*~x
3735936685*~x + 4549858079589260227*~(x&8561123111727613132) + 4549858079589260227*(x&8561123111727613132) + 4549858079589260227,  3735936685*~x
18446744069973614931*(x^2067131038575318123) + 7471873370*~(x&2067131038575318123) + 3735936685*2067131038575318123 + 3735936685,  3735936685*~x
5547647143687105794*~(x|2695400208890153135) + 3735936685*~(x|~2695400208890153135) + 5547647139951169109*x + 12899096933758382507*(x|~2695400208890153135),  3735936685*~x
3121292183913849139*(x^179098851658667335) + 3121292183913849139*~(x^179098851658667335) + 18446744069973614931*x + 3121292180177912454,  3735936685*~x
14628875078412044552*~(x|7360037704365957592) + 14628875078412044552*~(x|~7360037704365957592) + 3817868999033443749*~x,  3735936685*~x
14087846148029831244*(x&~3921676363653519505) + 14087846151765767929*~x + 4358897925679720372*~(x&3921676363653519505),  3735936685*~x
18446744069973614931*x + 18446744069973614931*2711497777356066544 + 3735936685*~(x&~2711497777356066544) + 3735936685*(x|2711497777356066544),  3735936685*~x
18446744069973614931*(x&~7091190894433010177) + 7471873370*~7091190894433010177 + 18446744069973614931*(x|~7091190894433010177) + 3735936685*7091190894433010177,  3735936685*~x
14380219774442534274*~494293976296370151 + 14380219774442534274*~(x|~494293976296370151) + 3735936685*~x + 4066524299267017342*~(x&494293976296370151),  3735936685*~x
7537056558400523285*~(x|1130953346479434650) + 10909687522780901701*~(x|~1130953346479434650) + 10909687519044965016*(x|~1130953346479434650) + 7537056554664586600*(x|1130953346479434650),  3735936685*~x
4179336132436767988*(x&~6528831554236760802) + 4179336128700831303*(x&6528831554236760802) + 14267407941272783628*x + 3735936685*~(x&~6528831554236760802),  3735936685*~x
17252336398963724908*~x + 17252336395227788223*x + 17252336395227788223,  3735936685*~x
3735936685*~(x|6785868049690635657) + 16945253576691901187*~(x|~6785868049690635657) + 16945253572955964502*x + 1501490500753587114*(x|6785868049690635657),  3735936685*~x
3157916937796044244*~(x|7170610620562217824) + 15288827139649444057*~7170610620562217824 + 15288827143385380742*~(x|~7170610620562217824) + 3157916934060107559*(x^7170610620562217824),  3735936685*~x
2368687536889760225*~3149098700073483698 + 2368687540625696910*~x + 2368687536889760225*(x^3149098700073483698) + 13709368999930031166*~(x&3149098700073483698),  3735936685*~x
