49374*(x&~5148131303079159687) + 18446744073709502242*~(x&5148131303079159687) + 3735887311*x,  49374 + 3735936685*x
3735936685*(x&~1128415531505723285) + 18446744069973614931*~(x&1128415531505723285) + 18446744069973664305,  49374 + 3735936685*x
18446744073709502242*~(x&2434831165790196660) + 18446744073709502242*(x&2434831165790196660) + 3735936685*x,  49374 + 3735936685*x
3735936685*(x&~8776623138757302205) + 18446744069973664305*(x^8776623138757302205) + 18446744073709502242*~(x&8776623138757302205) + 3735887311*(x|8776623138757302205),  49374 + 3735936685*x
18446744069973614931*~x + 3735887311*~(x&4306407900292268395) + 3735887311*(x&4306407900292268395),  49374 + 3735936685*x
6644973980876622791*~(x|~2806591846271903225) + 18446744069973614931*~x + 6644973980876622791*(x|~2806591846271903225) + 6644973977140735480,  49374 + 3735936685*x
18446744073709452868*~(x|~8416892853863790473) + 18446744073709502242*~(x^8416892853863790473) + 3735887311*x + 49374*8416892853863790473,  49374 + 3735936685*x
18446744073709502242*~(x&7371860133630637870) + 3735887311*(x&7371860133630637870) + 18446744069973614931*7371860133630637870 + 3735936685*(x|7371860133630637870),  49374 + 3735936685*x
3735887311*~8759130626009899265 + 18446744069973614931*~(x&8759130626009899265) + 18446744073709502242*8759130626009899265 + 3735936685*(x|8759130626009899265),  49374 + 3735936685*x
3735936685*(x^3322565000837650483) + 18446744073709502242*~(x&3322565000837650483) + 7471823996*(x&3322565000837650483) + 18446744069973614931*3322565000837650483,  49374 + 3735936685*x
18446744069973614931*~(x|945765767970373369) + 3735887311*(x&~945765767970373369) + 3735936685*~(x^945765767970373369) + 18446744073709502242*~(x&~945765767970373369),  49374 + 3735936685*x
18446744069973614931*~7528194008352580624 + 18446744069973664305*~(x^7528194008352580624) + 7471823996*(x|~7528194008352580624) + 18446744073709502242*~(x&~7528194008352580624),  49374 + 3735936685*x
3735887311*(x&~5467126977454910227) + 18446744073709502242*~x + 3735887311*(x&5467126977454910227),  49374 + 3735936685*x
18446744073709502242*~(x|~9179299504892057465) + 3735887311*x + 49374*9179299504892057465 + 18446744073709502242*~(x&~9179299504892057465),  49374 + 3735936685*x
3735887311*~(x|314164179403614649) + 18446744069973614931*(x^314164179403614649) + 18446744069973614931*~(x&~314164179403614649) + 7471823996*(x|314164179403614649),  49374 + 3735936685*x
18446744073709502242*(x^2068795860010031493) + 18446744073709502242*~(x^2068795860010031493) + 3735936685*x,  49374 + 3735936685*x
7471823996*~2216340605982385948 + 18446744069973614931*~(x&2216340605982385948) + 7471823996*2216340605982385948 + 18446744069973614931*~(x&~2216340605982385948),  49374 + 3735936685*x
5071180631398382700*(x&~2109327995301221485) + 6687781721155559771*~(x&2109327995301221485) + 6687781724891496456*x + 11758962352553942471*~(x&~2109327995301221485),  49374 + 3735936685*x
7471823996*(x^1778269132291919820) + 18446744069973614931*~(x&1778269132291919820) + 7471823996*~(x^1778269132291919820) + 18446744069973614931*~(x&~1778269132291919820),  49374 + 3735936685*x
18446744073709502242*~(x|6645046956388790073) + 49374*(x&~6645046956388790073) + 18446744073709502242*(x^6645046956388790073) + 3735887311*x,  49374 + 3735936685*x
7471823996*~(x|3193745074412407098) + 18446744069973614931*~(x&3193745074412407098) + 18446744069973614931*~(x&~3193745074412407098) + 7471823996*(x|3193745074412407098),  49374 + 3735936685*x
18446744069973664305*~(x|~5022951430031843590) + 18446744073709502242*~x + 3735887311*(x|5022951430031843590),  49374 + 3735936685*x
3735936685*~3777780386907392645 + 18446744069973565557*~(x&3777780386907392645) + 18446744073709502242*(x&3777780386907392645) + 3735936685*(x|3777780386907392645),  49374 + 3735936685*x
4728668200255396427*(x&~2161013151606413777) + 4728668200255396427*(x&2161013151606413777) + 13718075877190091874*x + 49374,  49374 + 3735936685*x
18446744069973565557*~(x&480187441650775224) + 18446744069973565557*(x&480187441650775224) + 3735936685*(x|~480187441650775224) + 3735936685*(x|480187441650775224),  49374 + 3735936685*x
18446744069973614931*~4088036709317812555 + 18446744066237678246*~(x|~4088036709317812555) + 18446744069973614931*~(x^4088036709317812555) + 18446744066237727620,  49374 + 3735936685*x
49374*(x&2839032618708747086) + 3735887311*(x|~2839032618708747086) + 3735887311*2839032618708747086 + 18446744069973614931*~(x&~2839032618708747086),  49374 + 3735936685*x
7471823996*(x&~6149854009052868772) + 18446744069973614931*~(x&6149854009052868772) + 3735887311*~(x&~6149854009052868772),  49374 + 3735936685*x
16689433323439538221*~x + 16689433327175474906*x + 16689433323439587595,  49374 + 3735936685*x
18446744066237678246*~(x|8138954957743590195) + 3735936685*~8138954957743590195 + 3735936685*~(x^8138954957743590195) + 49374,  49374 + 3735936685*x
18446744073709502242*~(x&8669805895425379389) + 3735887311*(x&8669805895425379389) + 18446744069973614931*~(x^8669805895425379389) + 3735936685*(x|~8669805895425379389),  49374 + 3735936685*x
49374*(x&~3548058141826868673) + 18446744073709502242*~3548058141826868673 + 18446744073709502242*~(x|~3548058141826868673) + 3735887311*x,  49374 + 3735936685*x
1835555151469892797*~x + 1835555155205829482*(x&7675262222790837525) + 16611188918503722134*~(x&~7675262222790837525) + 18446744069973664305,  49374 + 3735936685*x
18446744069973565557*~(x|~4942193978250842504) + 18446744073709502242*(x|~4942193978250842504) + 3735936685*(x|4942193978250842504),  49374 + 3735936685*x
18446744069973614931*~(x&7595449652489017555) + 18446744069973614931*~(x&~7595449652489017555) + 18446744066237727620,  49374 + 3735936685*x
18446744069973614931*~x + 18446744069973664305*~(x^6851298414711396833) + 3735887311*(x|~6851298414711396833) + 3735887311*~(x&~6851298414711396833),  49374 + 3735936685*x
9856518567386594099*~(x|1685965292507944430) + 18446744073709502242*~(x|~1685965292507944430) + 9856518571122530784*x + 8590225506322908143*(x|~1685965292507944430),  49374 + 3735936685*x
3735936685*(x&~5621708272992317495) + 3735936685*~(x^5621708272992317495) + 3735936685*(x|5621708272992317495) + 3735986059,  49374 + 3735936685*x
18446744069973614931*(x^418280022394602365) + 18446744069973614931*~(x&~418280022394602365) + 3735936685*(x|418280022394602365) + 18446744069973664305,  49374 + 3735936685*x
18446744073709502242*~x + 18446744069973664305*(x^156942153852983254) + 18446744069973664305*156942153852983254 + 7471774622*(x|156942153852983254),  49374 + 3735936685*x
7471823996*(x&~5235835304124375575) + 18446744069973614931*(x^5235835304124375575) + 3735936685*5235835304124375575 + 18446744073709502242*~(x&~5235835304124375575),  49374 + 3735936685*x
7471873370*(x&~8525005933984018292) + 18446744073709502242*~8525005933984018292 + 18446744069973614931*(x^8525005933984018292) + 3735887311*8525005933984018292,  49374 + 3735936685*x
3735936685*(x^6272676041420947925) + 7471922744*(x&6272676041420947925) + 18446744073709502242*(x|~6272676041420947925) + 18446744069973565557*6272676041420947925,  49374 + 3735936685*x
18446744073709502242*~x + 3735887311*(x|~6052183838086521980) + 3735887311*6052183838086521980 + 18446744069973664305*~(x&~6052183838086521980),  49374 + 3735936685*x
18446744069973614931*~(x|7295418929947231271) + 18446744073709502242*~(x|~7295418929947231271) + 3735887311*(x|~7295418929947231271),  49374 + 3735936685*x
3735936685*(x&~8543848946018181456) + 18446744069973614931*~8543848946018181456 + 3735936685*(x|~8543848946018181456) + 49374,  49374 + 3735936685*x
3735936685*~8032507720744131710 + 3735936685*(x^8032507720744131710) + 18446744066237678246*~(x&8032507720744131710) + 18446744069973664305,  49374 + 3735936685*x
3735936685*(x&~4454496951058499665) + 3735986059*(x&4454496951058499665) + 18446744073709502242*(x|~4454496951058499665) + 18446744073709502242*4454496951058499665,  49374 + 3735936685*x
18446744069973614931*(x^193172428735603476) + 18446744069973664305*193172428735603476 + 18446744073709502242*~(x&~193172428735603476) + 7471823996*(x|193172428735603476),  49374 + 3735936685*x
3735887311*(x^8359202021835735474) + 7471823996*(x&8359202021835735474) + 18446744069973664305*8359202021835735474 + 18446744073709502242*~(x&~8359202021835735474),  49374 + 3735936685*x
18446744069973614931*~(x^3721511499184011165) + 7471873370*(x|~3721511499184011165) + 3735936685*3721511499184011165 + 3735986059,  49374 + 3735936685*x
18446744069973614931*~(x|8384189018357842508) + 18446744066237727620*~(x|~8384189018357842508) + 3735887311*~(x&8384189018357842508) + 3735887311*8384189018357842508,  49374 + 3735936685*x
3735887311*(x&~7231238450343771279) + 18446744069973614931*~(x|~7231238450343771279) + 3735936685*7231238450343771279 + 18446744073709502242*~(x&~7231238450343771279),  49374 + 3735936685*x
18446744073709502242*~(x|4458910426638461092) + 49374*(x&4458910426638461092) + 3735887311*x + 18446744073709502242*4458910426638461092,  49374 + 3735936685*x
18446744069973565557*~(x|6603760443896622704) + 18446744073709502242*(x&~6603760443896622704) + 3735936685*(x|~6603760443896622704) + 18446744073709502242*6603760443896622704,  49374 + 3735936685*x
10132150879448595372*~x + 10132150883184532057*x + 10132150879448644746,  49374 + 3735936685*x
7471873370*(x&~184655720275468190) + 18446744069973614931*~184655720275468190 + 3735936685*~(x^184655720275468190) + 49374,  49374 + 3735936685*x
18446744069973614931*~(x|4310996221558023392) + 17677826934214478714*~(x|~4310996221558023392) + 17677826937950415399*(x|~4310996221558023392) + 17677826934214528088,  49374 + 3735936685*x
18446744069973614931*~(x|2730934530085234861) + 18446744069973614931*~(x|~2730934530085234861) + 18446744069973664305,  49374 + 3735936685*x
2255619966852550*~1393442979221837041 + 3735936685*x + 2255619966852550*1393442979221837041 + 2255619966901924,  49374 + 3735936685*x
18446744069973614931*~(x|7541492213856370503) + 18446744069973614931*(x^7541492213856370503) + 18446744069973614931*~(x&~7541492213856370503) + 18446744066237727620,  49374 + 3735936685*x
18446744073709502242*~(x|2236385010441543712) + 18446744069973614931*~(x|~2236385010441543712) + 3735887311*(x|2236385010441543712),  49374 + 3735936685*x
18135467989478498246*~6086845944050092083 + 311276084231003996*~x + 311276087966940681*x + 18135467989478498246*6086845944050092083,  49374 + 3735936685*x
3735936685*~8869220328562582460 + 3735936685*(x^8869220328562582460) + 7471873370*(x&8869220328562582460) + 3735986059,  49374 + 3735936685*x
14296688504523245641*~x + 14296688508259182326*x + 14296688504523295015,  49374 + 3735936685*x
18446744069973614931*~(x|~474077340674299856) + 3735936685*(x^474077340674299856) + 3735936685*(x&474077340674299856) + 49374,  49374 + 3735936685*x
18446744066237678246*~(x|~7644444417730119331) + 18446744069973614931*~(x^7644444417730119331) + 3735936685*7644444417730119331 + 18446744069973664305,  49374 + 3735936685*x
3735936685*(x&~6889888839720948556) + 18446744069973664305*~6889888839720948556 + 18446744073709502242*~(x&6889888839720948556) + 3735887311*(x|~6889888839720948556),  49374 + 3735936685*x
5225438432965015059*(x&~989258793549680445) + 5225438425493191063*~x + 13221305644480423868*~(x&989258793549680445) + 3735887311*~(x&~989258793549680445),  49374 + 3735936685*x
49374*(x&~9113553920084136144) + 18446744073709502242*~9113553920084136144 + 3735936685*x + 18446744073709502242*(x|9113553920084136144),  49374 + 3735936685*x
17275267861778293875*~(x|~402804470443567934) + 1171476208195321056*~x + 1171476211931257741*(x|402804470443567934) + 1171476208195370430,  49374 + 3735936685*x
3735887311*(x&~2020748678851132891) + 3735887311*~(x|~2020748678851132891) + 18446744069973614931*~x + 3735887311*~(x^2020748678851132891),  49374 + 3735936685*x
3735936685*(x^3356870053787651966) + 18446744069973565557*~(x&3356870053787651966) + 18446744073709502242*(x&3356870053787651966) + 3735936685*(x|~3356870053787651966),  49374 + 3735936685*x
7150168370324499891*~(x|2307549640616784892) + 7150168370324499891*~(x|~2307549640616784892) + 11296575703385002351*~x + 3735887311*x,  49374 + 3735936685*x
7471873370*(x&~7768916414110207606) + 18446744069973614931*~7768916414110207606 + 18446744073709502242*(x^7768916414110207606) + 3735887311*~(x^7768916414110207606),  49374 + 3735936685*x
18446744066237727620*~(x|2082716121985508657) + 3735936685*~2082716121985508657 + 18446744073709502242*~(x&2082716121985508657) + 3735887311*~(x^2082716121985508657),  49374 + 3735936685*x
18446744069973614931*~(x&416675803132557796) + 18446744066237727620*416675803132557796 + 3735887311*~(x&~416675803132557796) + 7471823996*(x|416675803132557796),  49374 + 3735936685*x
17452737453698681415*(x&~7099303672219439008) + 17452737449962744730*~x + 994006623746757512*~(x&7099303672219439008) + 3735887311*(x&7099303672219439008),  49374 + 3735936685*x
18446744066237727620*~(x|~6972528438414289473) + 3735887311*(x^6972528438414289473) + 3735936685*6972528438414289473 + 18446744073709502242*~(x&~6972528438414289473),  49374 + 3735936685*x
18446744069973664305*~(x|2466831302437496814) + 18446744069973614931*~x + 3735887311*~(x&2466831302437496814) + 3735887311*~(x^2466831302437496814),  49374 + 3735936685*x
17444399084747733878*~(x|1456559863394056472) + 18446744069973614931*~x + 17444399084747733878*(x|1456559863394056472) + 17444399081011846567,  49374 + 3735936685*x
5678995898292205085*~(x|5210470215487707867) + 5678995902028191144*x + 12767748175417297157*(x|~5210470215487707867) + 18446744073709502242*(x|5210470215487707867),  49374 + 3735936685*x
18446744069973614931*~(x|7303704992839373024) + 8992088269305322888*~(x|~7303704992839373024) + 8992088273041259573*(x|~7303704992839373024) + 8992088269305372262,  49374 + 3735936685*x
18446744073709502242*~(x&5690055250654610438) + 18446744073709502242*~(x^5690055250654610438) + 3735887311*x + 49374*(x|~5690055250654610438),  49374 + 3735936685*x
18446744069973614931*~(x|7101407298330085158) + 3735887311*~7101407298330085158 + 18446744073709502242*~(x|~7101407298330085158) + 3735887311*(x&7101407298330085158),  49374 + 3735936685*x
18446744069973614931*~x + 3735887311*(x^1075053777128874252) + 3735887311*~(x^1075053777128874252),  49374 + 3735936685*x
18446744069973614931*~(x|9036054101197898799) + 3735887311*(x&~9036054101197898799) + 18446744069973614931*~(x|~9036054101197898799) + 3735887311*~(x&~9036054101197898799),  49374 + 3735936685*x
18446744069973614931*~450176841092407395 + 3735887311*~(x|~450176841092407395) + 7471823996*(x|~450176841092407395) + 18446744069973614931*~(x&~450176841092407395),  49374 + 3735936685*x
7471922744*(x&~2468609747141655500) + 18446744069973565557*~2468609747141655500 + 3735936685*~(x^2468609747141655500) + 18446744073709502242*(x|2468609747141655500),  49374 + 3735936685*x
18446744062501790935*~(x|~6819894089616715518) + 3735887311*~(x&6819894089616715518) + 18446744069973614931*~(x^6819894089616715518) + 7471823996*6819894089616715518,  49374 + 3735936685*x
12931959849369657011*(x&~1810964118931606633) + 12931959845633720326*~x + 5514784224339894605*~(x&1810964118931606633) + 18446744069973664305,  49374 + 3735936685*x
18446744069973614931*~(x|2783466242155511091) + 18446744073709502242*~(x&2783466242155511091) + 18446744073709502242*(x&2783466242155511091) + 3735936685*(x|~2783466242155511091),  49374 + 3735936685*x
3021745838412021447*~(x|2394505974780438597) + 3021745838412021447*~(x|~2394505974780438597) + 15424998235297480795*~x + 3735887311*x,  49374 + 3735936685*x
18446744073709502242*~(x|4778270795946820618) + 7471823996*(x&~4778270795946820618) + 18446744069973614931*(x^4778270795946820618) + 3735887311*4778270795946820618,  49374 + 3735936685*x
18446744073709502242*~(x|~4632788755095407449) + 3735936685*x + 18446744073709502242*(x|~4632788755095407449),  49374 + 3735936685*x
18446744069973565557*~5732299487279195995 + 3735936685*(x|~5732299487279195995) + 18446744069973565557*5732299487279195995 + 3735936685*(x|5732299487279195995),  49374 + 3735936685*x
3735936685*~2062365184249939847 + 7471873370*(x&2062365184249939847) + 18446744069973614931*~(x^2062365184249939847) + 49374,  49374 + 3735936685*x
210585057930724374*~(x|4588472312325921074) + 210585057930724374*~(x|~4588472312325921074) + 18236159015778777868*~x + 3735887311*x,  49374 + 3735936685*x
5573983862624829100*~x + 3735887311*~(x&8911431630821830694) + 5573983870096653096*(x&8911431630821830694) + 12872760207348785831*~(x&~8911431630821830694),  49374 + 3735936685*x
14155941964139109748*~(x|2982356391790334846) + 18446744073709502242*~x + 14155941967874997059*x + 4290802109570441868*(x|~2982356391790334846),  49374 + 3735936685*x
18446744069973664305*~(x|4895959498224129801) + 49374*(x&~4895959498224129801) + 18446744073709502242*~(x&4895959498224129801) + 3735887311*(x|~4895959498224129801),  49374 + 3735936685*x
49374*~6613912460966496089 + 18446744073709502242*(x^6613912460966496089) + 3735986059*x + 18446744073709452868*(x|~6613912460966496089),  49374 + 3735936685*x
49374*(x&4468167443720691886) + 3735936685*x + 18446744073709502242*(x|~4468167443720691886) + 18446744073709502242*4468167443720691886,  49374 + 3735936685*x
7471873370*(x&~8010941550706066609) + 18446744069973614931*~8010941550706066609 + 18446744069973614931*(x^8010941550706066609) + 18446744069973664305,  49374 + 3735936685*x
3735887311*(x&~8331354425963166402) + 18446744073709502242*~x + 18446744069973664305*(x^8331354425963166402) + 3735887311*(x|8331354425963166402),  49374 + 3735936685*x
18446744069973614931*~(x|1843773137078636253) + 18446744069973614931*~(x|~1843773137078636253) + 3735887311*(x^1843773137078636253) + 3735887311*~(x^1843773137078636253),  49374 + 3735936685*x
3735887311*~6572511842930643125 + 3735936685*(x&6572511842930643125) + 3735887311*6572511842930643125 + 18446744069973614931*~(x&~6572511842930643125),  49374 + 3735936685*x
3735936685*~7197923092123275737 + 7471823996*(x^7197923092123275737) + 18446744066237678246*~(x&7197923092123275737) + 3735887311*~(x^7197923092123275737),  49374 + 3735936685*x
18446744069973565557*~341849929399167112 + 3735936685*~(x^341849929399167112) + 18446744066237628872*341849929399167112 + 7471873370*(x|341849929399167112),  49374 + 3735936685*x
18446744069973664305*~(x|3324052776998037055) + 3735887311*~3324052776998037055 + 18446744069973614931*~x + 3735887311*~(x&~3324052776998037055),  49374 + 3735936685*x
18446744069973614931*~(x|~4893088210445168461) + 3735887311*~(x&4893088210445168461) + 7471823996*(x&4893088210445168461) + 18446744069973614931*~(x^4893088210445168461),  49374 + 3735936685*x
