18446744069973614931*~(x|(~y|5148131303079159687)) + 3735936685*(y&~5148131303079159687) + 18446744069973614931*~(x&(~y|5148131303079159687)) + 18446744069973664305,  49374 + 3735936685*x
18446744066237678246*(y^~(~x|(~y&1569291944031601987))) + 18446744066237727620*~(x&1569291944031601987) + 3735936685*(y^(x&(~y|1569291944031601987))) + 3735887311*(~1569291944031601987|(x^y)) + 18446744058765903624*(y^~(x|(y^1569291944031601987))) + 11207711307*(y^(~x&(~y|1569291944031601987))) + 11207760681*(y|~1569291944031601987) + 18446744069973614931*(1569291944031601987|~(x^y)),  49374 + 3735936685*x
18446744066237727620*~(x|z) + 3735870853*(9223118878152488259^~(x&~z)) + 18446744073709518700*((x&9223118878152488259)^(9223118878152488259|~z)) + 3735903769*(9223118878152488259^(x&(9223118878152488259|z))) + 18446744069973664305*(~(x|9223118878152488259)|~(x^(9223118878152488259^z))) + 3735920227*((x|~9223118878152488259)&~(9223118878152488259^z)) + 18446744069973614931*(z&~(x&~9223118878152488259)) + 3735903769*~(x&~9223118878152488259),  49374 + 3735936685*x
7471873370*(~z&(x^7465980554445643485)) + 924941040387694906*(x&~7465980554445643485) + 924941044123680965*(x&(7465980554445643485^z)) + 17521803033321807336*(z^~(x&(~7465980554445643485&z))) + 18446744069973614931*(7465980554445643485^(x|z)) + 18446744069973614931*(7465980554445643485&~(x&z)) + 924941040387694906*~(x&~7465980554445643485) + 17521803037057744021*(z|(x&7465980554445643485)),  49374 + 3735936685*x
3735986059*~(~x|(y|8348777611806571916)) + 49374*(y&(x^8348777611806571916)) + 18446744073709502242*~(x&8348777611806571916) + 3735936685*(x&(y|8348777611806571916)) + 18446744073709502242*(x|(y&8348777611806571916)),  49374 + 3735936685*x
7378697627242278385*~(x|6189215388535967281) + 7378697630978165696*(~6189215388535967281&~(x^z)) + 11068046446467273231*(6189215388535967281^(x|z)) + 14757395258220444081*(z^~(~x&(6189215388535967281&z))) + 18446744069973614931*(~x&(6189215388535967281|z)) + 11068046446467273231*((x&z)^(6189215388535967281|z)) + 7378697630978165696*(6189215388535967281^~(x&(~6189215388535967281|z))) + 11068046446467273231*((x&z)^(x^(6189215388535967281&z))),  49374 + 3735936685*x
16397105838731228891*(~x&(~7319948605146180609&z)) + 16397105842467165576*((x^7319948605146180609)&~(x^z)) + 10248191152475944141*(z^(x|~7319948605146180609)) + 16397105842467165576*(x^(7319948605146180609|z)) + 16397105842467165576*(7319948605146180609^(x&z)) + 14347467611224779536*(z^(~x|(~7319948605146180609&z))) + 10248191156211880826*(x|(7319948605146180609^z)) + 12297829383718330181*(z|~(x|7319948605146180609)),  49374 + 3735936685*x
3735936685*(y^~(~x|(y^4821844867734700116))) + 7471823996*((x&y)^(y|4821844867734700116)) + 18446744066237678246*(~x|(y^4821844867734700116)) + 3735887311*((x&y)|~(y|4821844867734700116)) + 3735936685*(y^(~x|(~y&4821844867734700116))) + 18446744069973614931*(~(x|~y)|(x^(y^4821844867734700116))),  49374 + 3735936685*x
3735689815*(z^(x|(7568794277043152017|z))) + 49374*(7568794277043152017^(x|(7568794277043152017&z))) + 18446744073709452868*(7568794277043152017^(~x|(7568794277043152017|z))) + 49374*(~(x|~7568794277043152017)|(7568794277043152017^z)) + 3735837937*(x&(7568794277043152017&z)) + 148122*(z^~(x&(7568794277043152017&z))) + 18446744069973565557*((x&z)^~(x^(~7568794277043152017&z))) + 3735887311*(z^~(x|7568794277043152017)),  49374 + 3735936685*x
7471823996*~z + 18446744069973614931*(8555947635523333484^(~x|(8555947635523333484|z))) + 7471823996*~(x|~z) + 18446744043822156884*(8555947635523333484^~(x|(~8555947635523333484&z))) + 14943697366*(x^(~8555947635523333484&z)) + 26151458047*(z^(~x&(~8555947635523333484|z))) + 11207760681*8555947635523333484 + 18446744055029917565*(z|(x^8555947635523333484)),  49374 + 3735936685*x
463459169602583891*(x&(~y&6258111443353346289)) + 17519825730768496523*(x&(y^6258111443353346289)) + 18446744069973664305*((x|y)&(y^6258111443353346289)) + 3735887311*(y^(x|6258111443353346289)) + 18446744066237727620*~x + 463459177074358513*(~(x|~y)|~(x^(y^6258111443353346289))) + 463459173338471202*(y^(~x&(y|6258111443353346289))) + 17983284904106967725*(~x|(y&6258111443353346289)),  49374 + 3735936685*x
11207711307*(z^(~x|(1365580165098143571|z))) + 3735936685*(1365580165098143571^~(x&(1365580165098143571^z))) + 7471823996*(1365580165098143571^~(~x&(1365580165098143571^z))) + 18446744069973614931*(1365580165098143571^~(x&~z)) + 18446744062501790935*~(x&(1365580165098143571|z)) + 18446744066237727620*(z^~(x&(1365580165098143571&z))) + 11207711307*(z^(x&~1365580165098143571)),  49374 + 3735936685*x
18446744073709403494*(y^~(~x|(~y&5701717440593017934))) + 3735887311*(y^(x|~5701717440593017934)) + 18446744069973713679*(~x|(~y&5701717440593017934)) + 3735936685*((x&y)|(x^(y^5701717440593017934))) + 18446744073709452868*(5701717440593017934^~(x|(~y&5701717440593017934))) + 18446744069973664305*(5701717440593017934^~(~x|(y&5701717440593017934))) + 98748*(y^~(~x|(y&5701717440593017934))) + 3735837937*(5701717440593017934|(x&y)),  49374 + 3735936685*x
18446744066237678246*~(x|(~2597733108134131500|z)) + 49374*(z^(x|(~2597733108134131500|z))) + 18446744073709502242*(z^(x|(~2597733108134131500&z))) + 11207859429*(2597733108134131500^(x&(2597733108134131500|z))) + 18446744066237628872*~(x^(~2597733108134131500&z)) + 3735936685*(z^~(x&2597733108134131500)) + 3735887311*~(~x&(2597733108134131500&z)) + 18446744069973614931*(z|(x^2597733108134131500)),  49374 + 3735936685*x
18446744069973614931*(3570712291307334832^(x|(y&3570712291307334832))) + 3735936685*(x&(~y&3570712291307334832)) + 18446744069973614931*(~(x&y)&~(x^(y^3570712291307334832))) + 18446744069973614931*(3570712291307334832|~(x|y)) + 7471873370*(x|(~y|3570712291307334832)) + 49374,  49374 + 3735936685*x
7471873370*((x|4902955502562506860)&(4902955502562506860^z)) + 18446744069973614931*(z^~(~x&(~4902955502562506860|z))) + 18446744073709502242*(~x|(~4902955502562506860&z)) + 3735887311*~(~x|(~4902955502562506860&z)) + 18446744069973614931*((x&z)|(4902955502562506860&~z)) + 3735936685*(z^(x&~4902955502562506860)),  49374 + 3735936685*x
18446744069973565557*(960697081093887445&(x^z)) + 3735986059*(960697081093887445^~(~x&(~960697081093887445|z))) + 3735986059*(960697081093887445^(~x&(960697081093887445|z))) + 18446744073709502242*(960697081093887445^~(x&(960697081093887445&z))) + 18446744069973614931*(960697081093887445^~(~x|(960697081093887445&z))) + 7471873370*(x|960697081093887445) + 18446744069973565557*(x|(960697081093887445|z)),  49374 + 3735936685*x
18446744069973614931*(~x&(y&1205486370622856235)) + 3735986059*((x&1205486370622856235)^(x^(y&1205486370622856235))) + 18446744073709502242*(y|~1205486370622856235) + 18446744069973614931*(1205486370622856235^~(~x|(y&1205486370622856235))) + 3735887311*(x|1205486370622856235),  49374 + 3735936685*x
12297829376246522643*(~x&(~y&6319182105558626669)) + 12297829383718297265*(y^(~x|(y&6319182105558626669))) + 6148914693727141662*(6319182105558626669^~(~x&(~y&6319182105558626669))) + 18446744069973614931*((x&y)^(y|~6319182105558626669)) + 12297829387454233950*(y^~(~x&(~y|6319182105558626669))) + 6148914689991204977*(y^(x&6319182105558626669)) + 12297829383718346639*(x&y) + 6148914693727092288*(~(x&~y)&(x^(y^6319182105558626669))),  49374 + 3735936685*x
18446744069973565557*(~(x^5618057440357877583)&(x^z)) + 3735936685*~(5618057440357877583&z) + 18446744069973614931*~(x^(5618057440357877583^z)) + 18446744069973565557*(z^~(x&5618057440357877583)) + 49374*(x&5618057440357877583) + 3735936685*((x&5618057440357877583)|~(5618057440357877583|z)) + 3735887311*((5618057440357877583&z)|(x&(5618057440357877583|z))),  49374 + 3735936685*x
49374*(x&~2432049909890953908) + 6148914693727141662*(x&~y) + 12297829383718346639*((x|~y)&~(x^(y^2432049909890953908))) + 6148914689991155603*(y^(~x|(~y|2432049909890953908))) + 6148914689991204977*(y^(x|(~y&2432049909890953908))) + 6148914693727141662*(x|(~y&2432049909890953908)) + 12297829383718297265*(y|(x&~2432049909890953908)),  49374 + 3735936685*x
18446744062501790935*(x^(y|4762641452969897410)) + 3735887311*~(x&4762641452969897410) + 18446744062501790935*(~(x&y)&~(x^(y^4762641452969897410))) + 11207760681*(y^(x|(y^4762641452969897410))) + 18446744069973614931*(4762641452969897410&(x|~y)) + 7471823996*(4762641452969897410^~(x|(y&4762641452969897410))),  49374 + 3735936685*x
6148914689991270809*~(~x|(~y|1436679181516831895)) + 12297829383718379555*(~x&(~y&1436679181516831895)) + 18446744073709502242*(~(x&~y)&(y^1436679181516831895)) + 6148914693727108746*((y&1436679181516831895)^~(~x&(y^1436679181516831895))) + 12297829379982442870*(1436679181516831895^(x|(~y&1436679181516831895))) + 12297829379982393496*(~x&(~y|1436679181516831895)) + 12297829383718330181*(1436679181516831895^(x&y)) + 3735887311*((x&1436679181516831895)^(x^(y&1436679181516831895))),  49374 + 3735936685*x
7471823996*(y^(~x|(~y|5099249719768813448))) + 3735936685*(~(x|y)|(y^5099249719768813448)) + 18446744066237678246*(y&~(x&5099249719768813448)) + 11207760681*(~(x&~y)&(x^(y^5099249719768813448))) + 18446744058765854250*((x&y)|(x^(y^5099249719768813448))) + 18446744069973614931*(y|~(x|5099249719768813448)) + 18679634051*(y|(x&~5099249719768813448)) + 18446744066237678246*(~x|(~y|5099249719768813448)),  49374 + 3735936685*x
3735887311*(y^(~x|(~y|594477804075078483))) + 98748*(594477804075078483^(x&(y|594477804075078483))) + 3735837937*(x^594477804075078483) + 18446744066237727620*~(x&(~y|594477804075078483)) + 18446744066237826368*~(~x|(y^594477804075078483)) + 7471774622*(y&~(x^594477804075078483)) + 3735887311*((x&y)|~(y^594477804075078483)) + 18446744073709502242*(594477804075078483&~(x&~y)),  49374 + 3735936685*x
18446744069973565557*(~(x&661213011220854103)&(x^(661213011220854103^z))) + 18446744069973565557*((x&z)|(661213011220854103&~z)) + 3735936685*~(~x&(~661213011220854103|z)) + 3735986059*(x|(661213011220854103^z)) + 18446744073709502242*(x|(~661213011220854103|z)),  49374 + 3735936685*x
18446744069973614931*(z^(x|(~3586395998170017597|z))) + 18446744062501790935*(~x&(3586395998170017597^z)) + 7471823996*((x&~3586395998170017597)|(3586395998170017597^z)) + 49374*(~(x^3586395998170017597)&~(x^z)) + 18446744073709502242*(z^(~x|(~3586395998170017597&z))) + 3735936685*((x|3586395998170017597)&(x^(3586395998170017597^z))) + 3735887311*((x&3586395998170017597)^(x^(~3586395998170017597|z))) + 18446744069973614931*((x&3586395998170017597)^(x^(3586395998170017597&z))),  49374 + 3735936685*x
6148914693727141662*(y^(~x|(~y|272801269264317371))) + 6148914689991204977*(~(x|y)|(y^272801269264317371)) + 18446744069973614931*(~(x&~y)&~(x^(y^272801269264317371))) + 12297829383718297265*(~x|(~y&272801269264317371)) + 18446744069973614931*((x|~y)&(x^(y^272801269264317371))) + 12297829387454233950*(y^~(x&(y&272801269264317371))) + 6148914697463028973*(y&(x|272801269264317371)) + 18446744069973664305*(272801269264317371|~(x|y)),  49374 + 3735936685*x
3735936685*(~(x&155602829019369469)&(155602829019369469^z)) + 7471922744*(z^~(x&(155602829019369469&z))) + 18446744069973565557*~(x^(155602829019369469|z)) + 18446744069973565557*(~(x^155602829019369469)|(x^z)) + 14943845488*(x|(155602829019369469&z)) + 3735986059*(155602829019369469|(x&z)) + 18446744058765656754*(x|155602829019369469),  49374 + 3735936685*x
7471823996*((x&5421436461069690899)^~(x^(5421436461069690899&z))) + 8701130604408379026*(x&~5421436461069690899) + 18446744069973614931*(5421436461069690899^(x|(~5421436461069690899|z))) + 9745613473037109275*(~(x|5421436461069690899)|(5421436461069690899^z)) + 18446744069973614931*~(x&(~5421436461069690899|z)) + 9745613476772996586*(z^~(x|(5421436461069690899&z))) + 9745613476772996586*(x|z) + 17402261197608997371*(~x|(5421436461069690899|z)),  49374 + 3735936685*x
18446744072962364279*~(y|8992170429865680787) + 5230261985*(y^(x|(y|8992170429865680787))) + 18446744069973614931*(~(x&y)&(y^8992170429865680787)) + 18446744069973614931*((x^y)&(x^8992170429865680787)) + 18446744071467989605*(x^(~y|8992170429865680787)) + 2241562011*(x^(y&8992170429865680787)) + 2988699974*(y|~(x|8992170429865680787)) + 747187337*(y|(x^8992170429865680787)),  49374 + 3735936685*x
18446744073709502242*(~1219923589696791012&(x^y)) + 17235452264115407724*(~x&(~y&1219923589696791012)) + 1211291805858207207*(~x&(~y|1219923589696791012)) + 1211291805858256581*(~(x|y)|(x^(y^1219923589696791012))) + 1211291805858207207*(1219923589696791012^~(x|(~y&1219923589696791012))) + 16024160461993087828*(~y|~(x^1219923589696791012)) + 1211291809594143892*(x|(~y&1219923589696791012)) + 17235452267851295035*(y^~(x|(y&1219923589696791012))),  49374 + 3735936685*x
18446744073709518700*(y^~(x&(y^5023579636284896252))) + 18446744073709518700*~(x|~y) + 16458*((y&~5023579636284896252)|~(~x|(~y&5023579636284896252))) + 18446744073709518700*((x&5023579636284896252)|~(y|5023579636284896252)) + 3735920227*(x&(y|5023579636284896252)) + 16458*(~(x^y)|(x^5023579636284896252)) + 18446744069973598473*(y|~(x|~5023579636284896252)) + 3735920227*(y|(x^5023579636284896252)),  49374 + 3735936685*x
1716099180842130304*(~x&(y^9147253747438613253)) + 3735887311*(y^~(~x&(y^9147253747438613253))) + 2288132239877528177*((x&9147253747438613253)^~(y&~9147253747438613253)) + 15586578771060688881*~(x&(y|9147253747438613253)) + 17874711014674153743*(y^~(x&(y|9147253747438613253))) + 3735936685*((x&9147253747438613253)^(x^(y&9147253747438613253))) + 1144066118070795746*(y|~9147253747438613253) + 17874711014674104369*(y^(~x&(y^9147253747438613253))),  49374 + 3735936685*x
18446744073709502242*((x&y)^~(x^(y&4579555605070733505))) + 18446744069973664305*(~x|(~y&4579555605070733505)) + 18446744069973664305*(4579555605070733505&~(x^y)) + 3735887311*((x&y)|~(y|~4579555605070733505)) + 49374*~(~x&(y&4579555605070733505)) + 3735837937*(~x|(~y|4579555605070733505)),  49374 + 3735936685*x
15550228544814072938*(x&(~2233313156135411598&z)) + 2896515528895528052*((2233313156135411598&~z)|~(x|(~2233313156135411598&z))) + 15550228544814023564*(2233313156135411598^~(~x|(2233313156135411598^z))) + 18446744073709502242*(~x|(~2233313156135411598&z)) + 15550228544814023564*(2233313156135411598^~(x|(~2233313156135411598&z))) + 2896515532631415363*x,  49374 + 3735936685*x
3735887311*((x^y)&~(x^5158544509256352262)) + 7471823996*(y^(x|(y^5158544509256352262))) + 18446744066237727620*(y^(x|(~y&5158544509256352262))) + 3735936685*((y&~5158544509256352262)|~(~x|(~y&5158544509256352262))) + 18446744073709502242*~(x&(~y&5158544509256352262)),  49374 + 3735936685*x
18446744073709502242*(897298450336115123^(x|z)) + 18446744069973664305*(897298450336115123^~(~x|(~897298450336115123&z))) + 18446744073709502242*((897298450336115123&~z)^(~x|(897298450336115123^z))) + 3735837937*(897298450336115123|(x&~z)) + 18446744069973614931*((897298450336115123&z)|(~x&(897298450336115123|z))) + 3735936685*(z|(x^897298450336115123)) + 49374*(x|(897298450336115123|z)),  49374 + 3735936685*x
3735936685*~(~x|(y&6006859772204597111)) + 18446744069973664305*(~x|(~y&6006859772204597111)) + 18446744073709502242*(~y|(x^6006859772204597111)) + 49374*((x&y)|~(y|~6006859772204597111)) + 18446744073709502242*((x&y)|(y^6006859772204597111)) + 3735887311*~(x&~6006859772204597111),  49374 + 3735936685*x
7471774622*~(x|4534068304782181594) + 18446744066237727620*~(x|(~4534068304782181594&z)) + 22415373240*(4534068304782181594^~(~x|(~4534068304782181594&z))) + 18446744058765952998*(x^(4534068304782181594|z)) + 3735887311*(z^~(x|~4534068304782181594)) + 18446744069973664305*((x^4534068304782181594)|~(x^z)) + 3735887311*(z|~(x^4534068304782181594)),  49374 + 3735936685*x
7471873370*(x&~2255409457335515925) + 2638634185077820197*((x&z)^~(x^(2255409457335515925&z))) + 15808109884895745360*(~(x&~2255409457335515925)&~(x^(2255409457335515925^z))) + 2638634196285679626*(2255409457335515925^(~x&(~2255409457335515925|z))) + 15808109881159808675*(~z|~(x^2255409457335515925)) + 15808109884895745360*(z^~(x|~2255409457335515925)) + 2638634188813756882*((x&z)^(x^(2255409457335515925&z))),  49374 + 3735936685*x
12297829379982459328*(~y&(x^9070504752272607556)) + 6148914693727092288*((x|~y)&(y^9070504752272607556)) + 12297829383718346639*~(y&9070504752272607556) + 6148914689991106229*((x&9070504752272607556)^~(y&~9070504752272607556)) + 12297829383718396013*((y&~9070504752272607556)^(~x|(y^9070504752272607556))) + 6148914697463078347*~(~x|(y^9070504752272607556)) + 6148914689991204977*(y^~(x&(~y|9070504752272607556))) + 6148914689991155603*(9070504752272607556^(~x&(y|9070504752272607556))),  49374 + 3735936685*x
10540996615149409771*(y^(~x|(y&841872059905935185))) + 15811494917120234316*~x + 7905747458560141845*(y^~(~x&(y&841872059905935185))) + 7905747462296029156*((x^y)|(x^841872059905935185)) + 13176245768002790386*(~y|~(x^841872059905935185)) + 15811494920856171001*(y&841872059905935185) + 7905747462296029156*((x&~y)|~(y^841872059905935185)),  49374 + 3735936685*x
3735936685*(x&~5927597717839889141) + 3735936685*(x&5927597717839889141) + 49374,  49374 + 3735936685*x
3735936685*(x&(~7928233868202064759&z)) + 3736134181*((x&~7928233868202064759)|(7928233868202064759^z)) + 18446744073709502242*(z^(x|~7928233868202064759)) + 18446744073709452868*((x&z)^(7928233868202064759|z)) + 18446744069973565557*(~x|(7928233868202064759^z)) + 18446744073709452868*(x|~z) + 18446744073709452868*(x|(~7928233868202064759&z)) + 3736084807*(7928233868202064759^~(x|z)),  49374 + 3735936685*x
11207760681*((x|~4245010353355556671)&~(x^(4245010353355556671^z))) + 18446744069973614931*((x&z)^(x^(~4245010353355556671&z))) + 18446744069973614931*(4245010353355556671^(x&z)) + 18446744069973614931*((4245010353355556671&z)|(~x&(4245010353355556671|z))) + 18679634051*(~(x|~4245010353355556671)|(x^(4245010353355556671^z))) + 18446744062501741561*~(x&(4245010353355556671^z)),  49374 + 3735936685*x
18446744069973614931*~z + 7471873370*(~(x^5969120440803190396)&(x^z)) + 14943697366*(z^(x&(5969120440803190396|z))) + 18446744062501741561*(~x|(5969120440803190396^z)) + 7471823996*((x|~5969120440803190396)&(x^(5969120440803190396^z))) + 18446744055029917565*(5969120440803190396^(~x&(5969120440803190396^z))) + 14943697366*(5969120440803190396|~(x^z)),  49374 + 3735936685*x
18446744066237678246*(~x&(y&5753912262971849823)) + 3735936685*(5753912262971849823&(x|~y)) + 18446744066237727620*(5753912262971849823^~(x|~y)) + 18446744069973614931*(~(x^y)|~(x^5753912262971849823)) + 3735887311*(x|(y^5753912262971849823)) + 3735936685*(y|(x&5753912262971849823)) + 3735887311*~(x&~5753912262971849823),  49374 + 3735936685*x
18446744073709452868*~(x|(~y|1269500871310045429)) + 3735887311*(1269500871310045429^(x|(y&1269500871310045429))) + 18446744069973664305*(~(x&y)&(y^1269500871310045429)) + 18446744073709502242*~(x|(y^1269500871310045429)) + 18446744069973664305*(y^~(x&(y|1269500871310045429))) + 3735936685*(1269500871310045429^~(x&(~y|1269500871310045429))) + 3735887311*((y&~1269500871310045429)^(x|(y^1269500871310045429))) + 18446744073709502242*(y^(~x|(~y&1269500871310045429))),  49374 + 3735936685*x
18446744073709502242*(~z&~(x^7988984454476825241)) + 3735936685*((x&z)^(x^(~7988984454476825241&z))) + 18446744069973565557*~(x|~z) + 18446744073709502242*((x&~7988984454476825241)|(x^(7988984454476825241^z))) + 3735936685*(7988984454476825241&z) + 18446744073709502242*(7988984454476825241&~(x&~z)) + 49374*((7988984454476825241&z)|(~x&(7988984454476825241|z))),  49374 + 3735936685*x
7471823996*~(~x|(y&4991710922825311107)) + 3735887311*~(x&(y|4991710922825311107)) + 18446744066237727620*(y^~(~x&(y|4991710922825311107))) + 7471823996*(4991710922825311107^~(x|(y&4991710922825311107))) + 18446744069973614931*(~x|(y|4991710922825311107)),  49374 + 3735936685*x
18446744069973614931*((x^5102680713187374733)&~(x^z)) + 3735887311*(~(x|~5102680713187374733)|~(x^(5102680713187374733^z))) + 18446744058765804876*(x&(5102680713187374733&z)) + 14943697366*((x|~5102680713187374733)&(x^(5102680713187374733^z))) + 18679683425*(z^(~x&(~5102680713187374733|z))) + 18446744062501741561*(5102680713187374733^(~x|(5102680713187374733^z))) + 7471873370*z + 18446744062501741561*~(5102680713187374733&~z),  49374 + 3735936685*x
18446744066237826368*(x&~y) + 3735887311*((x&3111942672440277349)^(x^(~y&3111942672440277349))) + 3735887311*(y^~(~x&(~y|3111942672440277349))) + 18446744069973664305*(~x|(~y&3111942672440277349)) + 3735837937*~(x&y) + 3735887311*(y^~(x|(~y&3111942672440277349))) + 3735887311*(x&(~y|3111942672440277349)) + 18446744069973664305*(~(x^y)|(x^3111942672440277349)),  49374 + 3735936685*x
3735887311*((4703645079882338751&z)^~(~x&(4703645079882338751^z))) + 7471823996*((4703645079882338751&~z)|~(x|(~4703645079882338751&z))) + 18446744073709502242*(x^(4703645079882338751|z)) + 18446744066237727620*(~(x|~4703645079882338751)|~(x^(4703645079882338751^z))) + 3735837937*(~(x^4703645079882338751)&~(x^z)) + 18446744066237776994*((x|~4703645079882338751)&~(4703645079882338751^z)) + 7471823996*(x&(~4703645079882338751|z)),  49374 + 3735936685*x
3735936685*~(~x|(~y|4045939797654466395)) + 18446744069973614931*(y&~(x&4045939797654466395)) + 18446744069973664305*(4045939797654466395^(x&(~y|4045939797654466395))) + 18446744073709502242*(x^(y|4045939797654466395)) + 3735936685*(y^(x|(~y&4045939797654466395))) + 3735936685*((x&4045939797654466395)^(x^(y&4045939797654466395))) + 18446744073709502242*(x|(~y|4045939797654466395)),  49374 + 3735936685*x
18446744069973713679*(~(x^y)&~(x^5909168692271382276)) + 3735936685*(y^~(x|(~y&5909168692271382276))) + 18446744073709502242*(~5909168692271382276|~(x^y)) + 18446744073709502242*(5909168692271382276^(~x&(~y|5909168692271382276))) + 3735936685*(x|(~y&5909168692271382276)) + 3735887311*(~(x&~y)&~(y^5909168692271382276)) + 18446744069973614931*(y^~(x|(y&5909168692271382276))),  49374 + 3735936685*x
