9925453257363832303*~(y|~5148131303079159687) + 7471873370*(y^(~x|(y|5148131303079159687))) + 18446744069973614931*~y + 4260645406304891314*(y^5148131303079159687) + 3735936685*(y^(x|(y^5148131303079159687))) + 9925453264835705673*(y^~(x|(y^5148131303079159687))) + 4260645406304891314*~(x^(y&5148131303079159687)) + 4260645402568954629*~(x^(y|5148131303079159687)),  3735936685*~x
3735936685*(~x&(8555947635523333484^z)) + 3735936685*(x&(~8555947635523333484&z)) + 18446744069973614931*((x^8555947635523333484)&~(x^z)) + 3735936685*~(x&(8555947635523333484|z)) + 3735936685*(8555947635523333484&(x|~z)) + 18446744069973614931*((x&8555947635523333484)|(x^(8555947635523333484^z))),  3735936685*~x
14943746740*(~x&(~y&6258111443353346289)) + 3735936685*~(x|(y^6258111443353346289)) + 18446744069973614931*(y^(x&6258111443353346289)) + 18446744069973614931*(6258111443353346289&(x|~y)) + 3735936685*(y|~6258111443353346289) + 18446744069973614931*(6258111443353346289^(x&~y)) + 18446744069973614931*(~x|(y&6258111443353346289)) + 7471873370*(y^(x&(y^6258111443353346289))),  3735936685*~x
14943746740*(z^(~x|(1365580165098143571|z))) + 18446744066237678246*(~(x&1365580165098143571)&(x^(1365580165098143571^z))) + 3735936685*(~(x&~1365580165098143571)&~(x^(1365580165098143571^z))) + 18446744069973614931*(~(x|~1365580165098143571)|~(1365580165098143571^z)) + 18446744066237678246*(1365580165098143571&(x|z)) + 22415620110*(z^(x&~1365580165098143571)) + 18446744062501741561*(~(x^1365580165098143571)|(x^z)),  3735936685*~x
14943746740*(y^~(x&(~y&5701717440593017934))) + 18446744066237678246*(~(x^y)&(x^5701717440593017934)) + 18446744066237678246*(y^~(~x&(y^5701717440593017934))) + 7471873370*(x&(y^5701717440593017934)) + 18446744062501741561*(x|~y) + 7471873370*(~(x^y)|~(x^5701717440593017934)) + 3735936685*(x|y),  3735936685*~x
18446744069973614931*((x&2597733108134131500)^~(x^(~2597733108134131500|z))) + 3735936685*(~(x&2597733108134131500)&(2597733108134131500^z)) + 18446744069973614931*(2597733108134131500^~(x&z)) + 3735936685*(~(x|~2597733108134131500)|~(2597733108134131500^z)) + 18446744069973614931*(2597733108134131500^(x&(2597733108134131500^z))) + 18446744069973614931,  3735936685*~x
11207810055*~(x|y) + 18446744066237678246*(y^~(x&~3570712291307334832)) + 18446744069973614931*((x|y)&(x^(y^3570712291307334832))) + 18446744069973614931*((x|y)&~(y^3570712291307334832)) + 7471873370*(x|y),  3735936685*~x
18446744062501741561*~z + 18446744051293931506*(x&(~4902955502562506860&z)) + 14943746740*(4902955502562506860^~(~x&(4902955502562506860^z))) + 18446744066237678246*(4902955502562506860^(x|(~4902955502562506860&z))) + 11207810055*(~(x|~4902955502562506860)|(4902955502562506860^z)) + 18446744069973614931*(4902955502562506860&(x|~z)) + 3735936685*x,  3735936685*~x
3735936685*~(x|(960697081093887445|z)) + 18446744066237678246*(~(x^960697081093887445)&(x^z)) + 18446744055029868191*(~960697081093887445&~(x^z)) + 18446744069973614931*(x&~960697081093887445) + 7471873370*(z^~(x&(~960697081093887445&z))) + 11207810055*(960697081093887445^(~x|(960697081093887445|z))) + 18446744069973614931*(z^~(x&(960697081093887445&z))) + 3735936685*((x&960697081093887445)|~(x^(960697081093887445^z))),  3735936685*~x
3735936685*~(x|(~y|1205486370622856235)) + 18446744069973614931*((x&y)^~(x^(~y|1205486370622856235))) + 3735936685*~y + 3735936685*(y&~(x&1205486370622856235)),  3735936685*~x
11207810055*((x&y)^(y|~6319182105558626669)) + 18446744069973614931*~(x&6319182105558626669) + 3735936685*(x|(~y&6319182105558626669)) + 18446744069973614931*((x|y)&~(y^6319182105558626669)) + 3735936685*(y&~(x&~6319182105558626669)) + 18446744066237678246*((x^y)|~(x^6319182105558626669)) + 3735936685*(6319182105558626669|~(x|y)),  3735936685*~x
18446744069973614931*(5618057440357877583^(~x|(5618057440357877583&z))) + 18446744069973614931*(x&(~5618057440357877583&z)) + 18446744055029868191*(5618057440357877583^~(~x&(~5618057440357877583|z))) + 11207810055*(5618057440357877583^(x&(~5618057440357877583|z))) + 18446744055029868191*(5618057440357877583^~(x|(~5618057440357877583&z))) + 7471873370*(5618057440357877583^~(x&z)) + 18679683425*((x&5618057440357877583)|~(x^(5618057440357877583^z))) + 18446744066237678246*(5618057440357877583|(x&z)),  3735936685*~x
121193119135240231*(~y&~(x^2432049909890953908)) + 18446744069973614931*((x&y)^(y|~2432049909890953908)) + 18325550962046184755*((y&~2432049909890953908)|~(x|(~y&2432049909890953908))) + 121193119135240231*(~x&(y|2432049909890953908)) + 3735936685*(x^(y|2432049909890953908)) + 18446744069973614931*(~(x|~y)|(y^2432049909890953908)) + 121193115399303546*((x&y)|~(y^2432049909890953908)) + 18325550958310248070*~(y&~2432049909890953908),  3735936685*~x
6148914693727141662*((y&~4762641452969897410)|~(x|(~y&4762641452969897410))) + 6148914693727141662*~(x&(y|4762641452969897410)) + 6148914689991204977*(~x|(y^4762641452969897410)) + 18446744069973614931*((x&y)|~(y|4762641452969897410)) + 6148914693727141662*~(x^y) + 12297829383718346639*((x&4762641452969897410)|~(y|4762641452969897410)),  3735936685*~x
3735936685*(1436679181516831895^(x|~y)) + 11207810055*(~x&(~y|1436679181516831895)) + 3735936685*((x&1436679181516831895)^(y|1436679181516831895)) + 3735936685*((x|y)&~(x^(y^1436679181516831895))) + 18446744062501741561*(~y|(x^1436679181516831895)) + 7471873370*(x&(~y|1436679181516831895)) + 18446744066237678246*(y&1436679181516831895),  3735936685*~x
17888039433441760820*(x&(y^5099249719768813448)) + 3735936685*((y&~5099249719768813448)|~(x|(~y&5099249719768813448))) + 17888039433441760820*~(y^5099249719768813448) + 558704636531854111*~(~x&(y^5099249719768813448)) + 3735936685*~(y&~5099249719768813448),  3735936685*~x
13687878642404459400*(y^(~x|(y&594477804075078483))) + 9517730862610184432*(594477804075078483^~(x&~y)) + 8929013211099367184*(594477804075078483^~(x&(~y&594477804075078483))) + 3735936685*(~x&(y|594477804075078483)) + 4758865431305092216*~(x&594477804075078483) + 4758865427569155531*(x^(~y&594477804075078483)) + 3735936685*(y^~(x&(y|594477804075078483))) + 13687878642404459400*(y|~(x|~594477804075078483)),  3735936685*~x
3537118542254184589*(z^(~x|(~661213011220854103|z))) + 14909625531455367027*~z + 14909625535191303712*~x + 3537118542254184589*~(x&(~661213011220854103|z)),  3735936685*~x
11207810055*~(3586395998170017597|z) + 18446744069973614931*(3586395998170017597^(x|(3586395998170017597|z))) + 18446744066237678246*((x&~3586395998170017597)|~(x^(3586395998170017597^z))) + 11207810055*(z^(x&3586395998170017597)) + 3735936685*(z^~(x&3586395998170017597)) + 18446744069973614931*(3586395998170017597^~(x&(3586395998170017597|z))),  3735936685*~x
6148914678783394922*((x|y)&(y^272801269264317371)) + 12297829383718346639*(272801269264317371^~(~x&(y&272801269264317371))) + 6148914701199015032*(~(x|~y)|(y^272801269264317371)) + 7471873370*~(~x&(y&272801269264317371)) + 6148914697463078347*(y&~(x&~272801269264317371)) + 6148914682519331607*(y|(x^272801269264317371)) + 18446744066237678246*(272801269264317371|~(x|y)) + 6148914693727141662*(272801269264317371|~(x^y)),  3735936685*~x
18446744055029868191*(~(x&~155602829019369469)&(155602829019369469^z)) + 18446744062501741561*(z^~(x&~155602829019369469)) + 7471873370*~(155602829019369469|~z) + 14943746740*~(x&z) + 3735936685*(155602829019369469^(x&(155602829019369469|z))) + 14943746740*(~(x^155602829019369469)|~(x^z)) + 18446744058765804876*~(155602829019369469&~z),  3735936685*~x
18446744069973614931*~(~x|(~5421436461069690899|z)) + 3735936685*(5421436461069690899&~z) + 3735936685*(~x&(~5421436461069690899|z)),  3735936685*~x
14943746740*~(x|(y|8992170429865680787)) + 3735936685*(~(x|y)|(y^8992170429865680787)) + 11207810055*(y^~(~x&(y|8992170429865680787))) + 18446744058765804876*(~(x|~y)|~(x^(y^8992170429865680787))) + 18446744066237678246*(8992170429865680787^~(x&y)) + 18446744069973614931*~(y^8992170429865680787) + 11207810055*y,  3735936685*~x
2988749348*((x|~y)&~(x^(y^1219923589696791012))) + 18446744072215176942*((x&y)^(y|~1219923589696791012)) + 1494374674*(y&~(x&1219923589696791012)) + 18446744072962364279*((x&y)|(x^(y^1219923589696791012))) + 18446744072215176942*(x&(~y|1219923589696791012)) + 18446744072215176942*(~(x^y)|~(x^1219923589696791012)) + 18446744071467989605*((x&y)|~(y^1219923589696791012)) + 5977498696*~(x&(y^1219923589696791012)),  3735936685*~x
18446744058765804876*~(x|(~y|5023579636284896252)) + 14943746740*((x^y)&(x^5023579636284896252)) + 18446744055029868191*(x^(y&5023579636284896252)) + 22415620110*(y^(x&5023579636284896252)) + 18446744069973614931*(5023579636284896252&~(x&y)) + 11207810055*(y^~(x&5023579636284896252)) + 18446744066237678246*~(y^5023579636284896252) + 18446744069973614931*(y|~(x|~5023579636284896252)),  3735936685*~x
18446744069973614931*(~(x&y)&(y^9147253747438613253)) + 18446744069973614931*~(x|~9147253747438613253) + 16833492105395032224*~(x^(~y&9147253747438613253)) + 1613251972050456077*(~x|(~y&9147253747438613253)) + 18446744069973614931*((y&~9147253747438613253)^(x|(y^9147253747438613253))) + 1613251960842646022*(y^~(~x|(y&9147253747438613253))) + 16833492116602842279*(9147253747438613253|(x^y)),  3735936685*~x
12297829383718346639*((y&4579555605070733505)^~(~x&(y^4579555605070733505))) + 6148914693727141662*((x&4579555605070733505)^~(y&~4579555605070733505)) + 6148914686255268292*(x^(y&4579555605070733505)) + 12297829387454283324*(y^(x&(~y|4579555605070733505))) + 6148914689991204977*((x^y)|(x^4579555605070733505)) + 12297829379982409954*((x&4579555605070733505)|~(y|4579555605070733505)) + 6148914693727141662*(4579555605070733505|~(x|y)),  3735936685*~x
3735936685*~(2233313156135411598|z) + 3735936685*(z^(~x|(2233313156135411598&z))) + 18446744069973614931*(x|~z) + 3735936685*(2233313156135411598|~(x|~z)),  3735936685*~x
12371699363672756623*((x|~y)&~(y^5158544509256352262)) + 6075044706300858308*~(~x|(~y&5158544509256352262)) + 6075044710036794993*((x&y)^(x^(~y|5158544509256352262))) + 12371699363672756623*(y^(~x&(y^5158544509256352262))) + 3735936685*~(x&(~y&5158544509256352262)),  3735936685*~x
3735936685*((x|~897298450336115123)&(897298450336115123^z)) + 18446744069973614931*((x|897298450336115123)&~(x^(897298450336115123^z))) + 7471873370*(z^(x&897298450336115123)) + 18446744069973614931*(~(x|897298450336115123)|~(x^(897298450336115123^z))) + 3735936685*(z^~(x&(897298450336115123|z))) + 18446744069973614931*(x&(897298450336115123|z)) + 18446744069973614931*(x|(~897298450336115123&z)) + 3735936685*(897298450336115123^~(x|z)),  3735936685*~x
3735936685*(x^6006859772204597111) + 3735936685*(~x|(~y&6006859772204597111)) + 18446744069973614931*(~y|(x^6006859772204597111)) + 18446744069973614931*((x&y)|(x^(y^6006859772204597111))) + 3735936685*(~6006859772204597111|~(x^y)),  3735936685*~x
12297829383718346639*(z^~(x&(~4534068304782181594&z))) + 12297829379982409954*(z^(x&(4534068304782181594|z))) + 6148914686255268292*(4534068304782181594&~(x^z)) + 6148914689991204977*(x&(4534068304782181594|z)) + 3735936685*((4534068304782181594&z)|(~x&(4534068304782181594|z))) + 6148914689991204977*(~(x^4534068304782181594)|(x^z)) + 3735936685*~(x&~4534068304782181594),  3735936685*~x
3735936685*(~z&~(x^2255409457335515925)) + 18446744069973614931*(~(x&2255409457335515925)&~(2255409457335515925^z)) + 11207810055*(2255409457335515925^~(~x&(2255409457335515925|z))) + 18446744066237678246*~(x&(2255409457335515925&z)) + 18446744069973614931*(z^~(x|~2255409457335515925)) + 18446744062501741561*2255409457335515925 + 14943746740*(2255409457335515925|~(x|~z)),  3735936685*~x
7471873370*~(~x|(~y|9070504752272607556)) + 6148914689991204977*(9070504752272607556^~(x&~y)) + 6148914697463078347*(~y|(x^9070504752272607556)) + 12297829394926156694*(~(x&~y)&(x^(y^9070504752272607556))) + 12297829372510536584*((x&y)|(x^(y^9070504752272607556))) + 6148914689991204977*(y|~(x|9070504752272607556)) + 3735936685*(y|(x&~9070504752272607556)) + 6148914686255268292*(9070504752272607556|(x&y)),  3735936685*~x
10851025930106720580*~(x|(~y&841872059905935185)) + 4340410372042688232*((x&841872059905935185)^~(y&~841872059905935185)) + 15191436294677535442*(~841872059905935185|(x^y)) + 2170205186021344116*(841872059905935185^(x&y)) + 2170205186021344116*~(x^(y|841872059905935185)) + 11936128519381455953*((x&~y)|(x^(y^841872059905935185))) + 17361641480698879558*(y|~(x|841872059905935185)) + 5425512961317423605*((x&~y)|~(y^841872059905935185)),  3735936685*~x
3735936685*(y^(~x|(y|5927597717839889141))) + 18446744069973614931*((x&y)|~(y|~5927597717839889141)) + 3735936685*(y|~(x|~5927597717839889141)),  3735936685*~x
18446744069973614931*(7928233868202064759^~(~x&(~7928233868202064759&z))) + 3735936685*(7928233868202064759^~(~x&(7928233868202064759|z))) + 18446744069973614931*(x&(7928233868202064759&z)) + 3735936685*(7928233868202064759^~(x&(~7928233868202064759|z))),  3735936685*~x
6148914693727141662*(4245010353355556671^(x&(~4245010353355556671|z))) + 12297829379982409954*(z^(x&4245010353355556671)) + 12297829383718346639*((x|~4245010353355556671)&~(4245010353355556671^z)) + 18446744066237678246*((x|4245010353355556671)&(x^(4245010353355556671^z))) + 18446744069973614931*(z^~(x&(~4245010353355556671|z))) + 6148914697463078347*(z^~(x|~4245010353355556671)) + 6148914697463078347*(4245010353355556671|~z) + 12297829379982409954*(x|(4245010353355556671&z)),  3735936685*~x
2635249153920784043*(~z|(x^5969120440803190396)) + 10540996608211262802*~(x^(5969120440803190396|z)) + 10540996615683136172*(z^~(x|(~5969120440803190396&z))) + 2635249157656720728*((x&z)^~(x^(~5969120440803190396&z))) + 2635249150184847358*~(x&(5969120440803190396^z)) + 15811494919788767573*(5969120440803190396^(~x&(5969120440803190396^z))) + 5270498304105631401*((x&5969120440803190396)^(x^(5969120440803190396&z))) + 7905747465498288814*(x|(~5969120440803190396|z)),  3735936685*~x
18446744066237678246*(x&~5753912262971849823) + 18446744069973614931*((x&5753912262971849823)^~(x^(y&5753912262971849823))) + 18446744069973614931*(y&(x^5753912262971849823)) + 18446744069973614931*(5753912262971849823^~(~x|(~y&5753912262971849823))) + 14943746740*(~y|(x^5753912262971849823)) + 7471873370*(y&~(x^5753912262971849823)) + 18446744069973614931*(y^~(x&(y&5753912262971849823))) + 18446744069973614931*(5753912262971849823^~(x|y)),  3735936685*~x
7471873370*(~(x&y)&~(y^1269500871310045429)) + 18446744069973614931*(y^~(~x&(y|1269500871310045429))) + 3735936685*(y^(x|(~y&1269500871310045429))) + 3735936685*(y^~(x|~1269500871310045429)) + 3735936685*(y^(~x&(y^1269500871310045429))) + 18446744066237678246*(1269500871310045429^~(~x|(y&1269500871310045429))),  3735936685*~x
14884255562127011332*(z^(~x|(~7988984454476825241|z))) + 18446744069973614931*(z^(x|(~7988984454476825241|z))) + 18446744069973614931*((7988984454476825241&z)^~(x&(7988984454476825241^z))) + 3735936685*(7988984454476825241^~(x&~z)) + 18446744069973614931*(x&(~7988984454476825241|z)) + 3735936685*(z^(x&~7988984454476825241)) + 14884255554655137962*((7988984454476825241&z)|(x&(7988984454476825241|z))) + 3562488519054413654*~(~x&(~7988984454476825241&z)),  3735936685*~x
7471873370*(~y&~(x^4991710922825311107)) + 7471873370*(4991710922825311107^(x&(y|4991710922825311107))) + 7471873370*~(~x|(~y&4991710922825311107)) + 3735936685*(4991710922825311107&~(x^y)) + 18446744066237678246*(4991710922825311107^~(x|~y)) + 18679683425*((x&4991710922825311107)^~(x^(~y&4991710922825311107))) + 18446744066237678246*(~(x|~y)|~(y^4991710922825311107)) + 18446744058765804876*(y^~(x|4991710922825311107)),  3735936685*~x
11207810055*~(x|(5102680713187374733|z)) + 18446744062501741561*~(~x|(~5102680713187374733|z)) + 3735936685*~(x|5102680713187374733) + 3735936685*(z^(x|(~5102680713187374733&z))) + 18446744062501741561*(~(x&5102680713187374733)&~(x^(5102680713187374733^z))) + 7471873370*(5102680713187374733^(x&z)) + 18446744069973614931*((5102680713187374733&~z)|~(~x|(~5102680713187374733&z))) + 3735936685*((5102680713187374733&z)|(x&(5102680713187374733|z))),  3735936685*~x
15418270759306844432*(y^(x|(y&3111942672440277349))) + 3735936685*~x + 15418270759306844432*(3111942672440277349^~(~x&(y|3111942672440277349))) + 12389797444904137248*~(x^(~y&3111942672440277349)) + 3028473314402707184*(~x|(y^3111942672440277349)) + 12389797444904137248*(y^(~x&(y|3111942672440277349))) + 12389797444904137248,  3735936685*~x
3735936685*(x&~z) + 18446744066237678246*((x^4703645079882338751)&~(x^z)) + 7471873370*~(4703645079882338751|~z) + 3735936685*(4703645079882338751^~(~x&(4703645079882338751|z))) + 7471873370*(~(x|~4703645079882338751)|(4703645079882338751^z)) + 7471873370*((x&4703645079882338751)|(4703645079882338751^z)) + 11207810055*(4703645079882338751^(x&~z)) + 18446744055029868191*(x|(4703645079882338751|z)),  3735936685*~x
18446744069973614931*(~(x&y)&(x^(y^4045939797654466395))) + 3735936685*(~(x&y)&~(y^4045939797654466395)) + 18446744066237678246*(x|(y&4045939797654466395)) + 7471873370*(x|(y|4045939797654466395)),  3735936685*~x
3410687315261088280*(~5909168692271382276&~(x^y)) + 7518028371752358298*(x&~5909168692271382276) + 7518028382960168353*(5909168692271382276^(~x|(y|5909168692271382276))) + 3735936685*(5909168692271382276^(x|(y&5909168692271382276))) + 10928715694485319948*(~(x&y)&(y^5909168692271382276)) + 10928715698221256633*((x^y)&(x^5909168692271382276)) + 7518028379224231668*((y&~5909168692271382276)^(~x|(y^5909168692271382276))),  3735936685*~x
18446744058765804876*~(x|(~1128415531505723285|z)) + 22415620110*((x&1128415531505723285)^~(x^(1128415531505723285&z))) + 18446744069973614931*(z^(x&(1128415531505723285|z))) + 18446744069973614931*(~z|(x^1128415531505723285)) + 18446744058765804876*~(x^1128415531505723285) + 3735936685*(x&(~1128415531505723285|z)) + 11207810055*(1128415531505723285&z),  3735936685*~x
18446744069973614931*(x&(2434831165790196660&z)) + 3735936685*(~x|(2434831165790196660&z)),  3735936685*~x
7471873370*~(x|(7592777291139738390&z)) + 18446744069973614931*(7592777291139738390^~(x&(7592777291139738390&z))) + 3735936685*(7592777291139738390^~(x|(7592777291139738390&z))) + 18446744069973614931*~(x&~7592777291139738390) + 3735936685*((x&7592777291139738390)^(x^(7592777291139738390&z))),  3735936685*~x
13316120715520985967*~(x|(~8719656751948788532&z)) + 13316120715520985967*((x&z)^~(8719656751948788532&~z)) + 5130623361924502334*(~x|(8719656751948788532^z)) + 15881432396483237134*(8719656751948788532&~(x^z)) + 15881432392747300449*(8719656751948788532^~(x|(8719656751948788532^z))) + 7695935039150816816*(~(x|~8719656751948788532)|~(8719656751948788532^z)) + 2565311680962251167*(8719656751948788532|(x&~z)) + 13316120711785049282*(x|8719656751948788532),  3735936685*~x
18446744069973614931*((x&7787660248488914187)^~(x^(y&7787660248488914187))) + 3735936685*(x^(y|7787660248488914187)) + 18446744069973614931*((x&y)|(x^(y^7787660248488914187))) + 3735936685*(y^~(x&(y&7787660248488914187))) + 18446744069973614931*(y&7787660248488914187) + 18446744069973614931*(~(x^y)|(x^7787660248488914187)) + 7471873370*~(x&~y),  3735936685*~x
6724686033*~(x|3862305549975660586) + 18446744069973614931*(~(x|3862305549975660586)|~(x^(3862305549975660586^z))) + 2988749348*((x^3862305549975660586)|(x^z)) + 18446744070720802268*(x|~z) + 18446744072215176942*(~(x^3862305549975660586)|~(x^z)) + 18446744072962364279*(z&~(x&~3862305549975660586)) + 5230311359*(3862305549975660586|~(x^z)),  3735936685*~x
8429107933848243882*(5538905606817939280^z) + 3735936685*(~(x&5538905606817939280)&~(5538905606817939280^z)) + 8429107926376370512*(x^5538905606817939280) + 16858215860224614394*(x&(5538905606817939280&z)) + 10017636143597244419*~(~x&(~5538905606817939280|z)) + 18446744069973614931*((x&5538905606817939280)|~(5538905606817939280|~z)) + 10017636147333181104*(z|~(x|~5538905606817939280)),  3735936685*~x
3735936685*(y^(x|6276586748310795187)) + 11207810055*(6276586748310795187^~(~x&(y&6276586748310795187))) + 18446744066237678246*(6276586748310795187&(x^y)) + 22415620110*((x|y)&~(y^6276586748310795187)) + 18446744062501741561*~(y^6276586748310795187) + 18446744058765804876*((x&6276586748310795187)^(x^(y&6276586748310795187))) + 14943746740*((x&y)|~(x^(y^6276586748310795187))) + 18446744062501741561*~(~x&(~y&6276586748310795187)),  3735936685*~x
18446744069973614931*(2000528854670569307^(~x&(2000528854670569307|z))) + 18446744069973614931*(x&(~2000528854670569307|z)) + 3735936685*(z^~(x|~2000528854670569307)) + 3735936685*~(x&~2000528854670569307) + 3735936685*~(2000528854670569307&~z) + 18446744069973614931*~(x&~z),  3735936685*~x
3735936685*~y + 18446744069973614931*((x&8759130626009899265)|~(y|8759130626009899265)) + 3735936685*((x&8759130626009899265)^~(x^(~y&8759130626009899265))),  3735936685*~x
